LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ
50402,0.643303,0.643294,0.6433,1.0,284,0.10597603714367376,0.6,0.7,0.10761053125195782,0.6,0.7,16.15,0.48,61,0.042119015491751816,1.1,1.1,0.042069724444023675,1.0,1.1,16.1,0.38,1.5544786001020963,1.6223436001025409,14.735135931532437,0.07760328983979997,7.194603212638244,1.912659670791364,1.916039670791386,295.8579881637422,0.014882438573022622,2.2053151013149233
62892,0.530776,0.530785,0.5308,1.0,276,0.10853500416309395,1.1,0.9,0.13110370211797465,2.0,1.2,16.08,0.62,61,0.08494821295852699,6.6,2.4,0.07675852389202205,6.8,2.3,16.1,0.42,1.8840337800806368,1.9519137800810815,14.73187978776442,0.06584012101304285,7.123298840433139,1.883993500157314,1.9434235001577034,16.826518593192812,0.029057469935382673,4.982490074105713
136668,0.532923,0.532929,0.5329,1.0,310,0.12306642530420873,1.6,1.1,0.15106542103233503,3.3,1.2,16.18,0.82,65,0.04301959647754858,5.5,1.6,0.057550995663865276,20.9,2.3,16.16,0.67,1.8764430547334434,1.9094630547336597,30.284675953768893,0.05496481470923856,6.994832339296202,1.8764296436540766,1.9395596436544902,15.840329478749387,0.0800812453649679,8.777786455463497
141414,0.33569,0.335669,0.3357,0.9999,278,0.1191250803034982,0.6,0.8,0.18063598656747193,1.3,1.1,16.11,0.41,64,0.05771208539747319,1.2,1.3,0.11815086623852643,9.1,2.4,16.1,0.31,2.978936065800874,3.0467310657983075,14.750350321378534,0.036534416255077876,11.762825988686435,1.4895618405079745,1.4928268405079959,306.27871362739626,0.021102536199546777,4.728010550546991
142794,0.470787,0.470802,0.4708,1.0,270,0.09500324106401337,1.8,1.0,0.11635985741166535,2.7,1.2,15.93,0.72,63,0.04644701061581125,11.9,2.3,0.04837723043365614,12.8,2.4,15.85,0.72,2.1241024144767926,2.1847524144744965,16.488046167153467,0.04802503809217959,9.391181382709995,2.12403426114829,2.1851492611459764,16.362595108203514,0.028598033398648016,6.073275697670489
