mean,median,std,amin,amax,skew,kurtosis,Amplitude
15.920224489795919,15.888,0.1598576630093638,15.679,16.36,0.6597684025196715,-0.4825666018935548,0.6809999999999992
16.83954275092937,16.844,0.23684665640581268,16.382,17.975,0.7671094429550458,3.5288374430517084,1.593
15.574235294117646,15.502,0.19214843541429505,15.4,16.391,2.227094536956403,4.286783373028634,0.9909999999999979
14.939383177570093,14.9885,0.23137320805533662,14.289,15.33,-0.6242647794950136,-0.5661675793228627,1.0410000000000004
14.253743902439021,14.2935,0.22788897104935402,13.698,14.665,-0.5504195371180982,-0.49809702800718325,0.9669999999999987
15.925583690987125,15.851,0.23458454304646298,15.002,16.446,0.47974082950627445,0.09396370827846035,1.4440000000000008
16.033684210526317,15.995000000000001,0.14816920664567426,15.816,16.536,1.2092293306638628,1.8145849783688108,0.7200000000000006
15.251450980392157,15.328,0.24699130605100872,14.488,15.621,-0.9409325716661789,-0.06619687058807333,1.133000000000001
15.237523316062175,15.222,0.14063594670500543,14.98,15.543,0.0745542172304743,-1.2847317464038743,0.5629999999999988
15.47748898678414,15.499,0.15121953686445355,14.923,15.834,-0.529786072876266,0.7207217919596021,0.9109999999999996
16.00613618677043,16.024,0.15501877700609362,15.656,16.35,-0.3160889860915638,-0.770125069734934,0.6940000000000008
15.134635964912281,15.065000000000001,0.1847429311099618,14.999,15.857,2.5360756707119845,5.723437107383818,0.8579999999999988
16.66855458515284,16.682,0.24967670822525662,16.089,17.379,-0.026096913803469447,-0.812101206272068,1.2900000000000027
15.199089108910893,15.256,0.1629997606752783,14.733,15.515,-0.6559501738390104,-0.5073852713771108,0.782
15.264352941176472,15.2985,0.10681105015741509,14.987,15.638,-0.26453289122531676,0.10788815862879586,0.6509999999999998
15.8737963800905,16.003,0.30107862033561983,15.192,16.307,-0.8522951587508096,-0.6283043119961453,1.1149999999999984
16.457072487644155,16.574,0.3229875004236851,15.685,17.405,-0.7404201424012993,-0.38327993947489025,1.7200000000000006
16.01636243822076,16.045,0.19092483040194705,15.51,16.612,-0.25499325391190014,-0.5599415849293221,1.1019999999999985
16.39162886597938,16.377,0.18588969585738457,15.976,17.319,0.8390250098137405,3.8201606319738852,1.3429999999999982
15.931003649635034,15.9115,0.31136317908619304,15.524,18.037,3.7891812291087086,18.714216487232175,2.513
15.662657992565055,15.62,0.300091519220213,15.364,17.475,3.3645269314770125,13.011958713919778,2.1110000000000007
16.358149484536085,16.423499999999997,0.22638464745734144,15.812,16.781,-0.6940676653411428,-0.6091048990418648,0.9689999999999994
14.947617117117117,14.971,0.14411275142731172,14.653,15.176,-0.1569881081102895,-1.4436620291405307,0.5229999999999997
14.648127020785218,14.702,0.19374154709073887,14.23,14.981,-0.49790173463788373,-0.8310928937442741,0.7509999999999994
14.762123287671232,14.776,0.13997368152412393,14.501,14.994,-0.08830128426139462,-1.4208931568609695,0.4930000000000003
14.794062394603708,14.755,0.13960352094340858,14.579,15.132,0.6283318502231903,-0.7821622471337055,0.552999999999999
14.878537383177571,14.8615,0.106131179369847,14.676,15.13,0.3484444412232416,-0.9769255216021753,0.4540000000000006
15.41022619047619,15.4375,0.15092753951550067,15.047,15.687,-0.6116259534667463,-0.4077505071745682,0.6399999999999988
14.881868613138687,14.814,0.21540433312310486,14.588,15.362,0.653648036199479,-0.8185961102861437,0.7740000000000009
17.04744131455399,16.969,0.255817967751835,16.611,17.898,1.0632541268579219,0.5395904135702851,1.286999999999999
15.13192156862745,15.121,0.14294342501639584,14.905,15.445,0.17823466646498845,-1.2843977179613313,0.5400000000000009
15.696545454545454,15.762,0.2359930872940019,15.198,16.108,-0.23187614561604214,-1.246293695439923,0.9100000000000001
16.34220224719101,16.442,0.30280573772169755,15.632,16.86,-0.8043372793944616,-0.33625508894720113,1.2279999999999998
15.701254807692306,15.712,0.12250192732768192,15.446,15.908,-0.24483534119611003,-1.1065733468606667,0.46199999999999974
15.537177777777776,15.502,0.1045293210934327,15.379,15.771,0.5579305598142458,-0.9997731879886209,0.39200000000000124
15.631023041474656,15.613,0.10201109427665903,15.379,16.102,1.869329232787297,5.3530326846223435,0.7230000000000008
15.331761538461537,15.21,0.33337816489926403,15.117,17.785,3.5494087914899684,15.715194465839463,2.6679999999999993
16.676633333333335,16.6315,0.2257794901245895,16.39,17.334,1.0590546126658973,0.5962848825404361,0.9439999999999991
16.87089855072464,16.8545,0.16117784029532048,16.555,17.244,0.14600238180905756,-0.7850521625346909,0.6890000000000001
16.579035087719298,16.66,0.2825338287748831,15.882,17.18,-0.5287249191797578,-0.3750451370709431,1.298
15.314049586776859,15.3645,0.2397539405044399,14.852,15.798,-0.33717883445112184,-1.0128560235093471,0.9459999999999997
15.730246987951805,15.6995,0.12528742405858714,15.513,16.102,0.7932212429649715,-0.1945513702738757,0.5890000000000004
15.421389690721648,15.368,0.17022107252001098,15.18,15.86,0.7644247873843386,-0.45650667139564494,0.6799999999999997
16.003809523809522,15.971499999999999,0.11936633587411226,15.796,16.336,0.4565122437517515,-0.8641400406411175,0.5399999999999991
15.723147169811321,15.668,0.16286429167079386,15.484,16.102,0.741157177286386,-0.7703149718618758,0.6180000000000003
16.3358445229682,16.357,0.1267448595766929,15.993,16.639,-0.37921371759561856,-0.5818654359200934,0.645999999999999
16.014794642857144,15.9205,0.3344170169598187,15.655,17.878,3.492512901771973,15.486438590431234,2.2230000000000008
16.592100386100384,16.56,0.17631544790628242,16.253,17.254,0.2464332975580905,-0.6249143405178135,1.0010000000000012
