LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
600792,0.13169,0.197535,0.164612,1.5,564,0.209818934599077,2.0,0.9,0.97894296802126,4.5,2.0,16.13,0.21,94,0.1171358647849269,1.5,1.3,0.7437008569981177,12.1,3.7,16.16,0.15,7.5936,7.6105,59.0493,0.0067,63.9506,2.0024,2.0701,14.7787,0.0231,3.496,0.06,0.4,NaN,NaN,NaN
6018678,0.476162,0.476189,0.476176,1.000057,597,0.1357095362150834,7.0,1.8,0.1700892527214888,9.1,2.0,16.02,0.88,47,0.0841646787268687,22.2,4.3,0.0729027049218525,26.3,4.0,15.95,0.82,2.1001,2.134,29.529,0.0375,13.7127,2.1,2.103,331.675,0.0988,10.1869,0.06,6e-05,NaN,NaN,NaN
6019540,1502.903133,0.996742,751.949938,0.000663,562,0.2827532380067729,2.6,1.4,0.5461796666967642,4.2,2.2,16.17,0.23,48,0.0010523508642651,1.1,0.8,0.0289456502188372,1.1,1.1,7.16,8.79,0.0007,0.0007,0.0,261.3292,0.0274,1.0033,1.007,271.3704,0.261,21.2217,8.56,1.99735,NaN,NaN,NaN
6022777,0.495745,0.495724,0.495734,0.999958,572,0.0531047059210001,8.2,1.6,0.0609155625420289,16.9,1.6,15.19,1.01,51,0.0296734554744965,6.4,1.8,0.0380294239793608,9.1,2.2,15.41,0.76,2.0172,2.0244,138.6963,0.0572,13.0042,2.0024,2.0173,67.1141,0.1333,12.0517,0.25,4e-05,NaN,NaN,NaN
6023067,1.332815,0.666393,0.999604,0.499989,500,0.0711064928417806,2.6,1.2,0.4141110578832958,11.1,1.9,16.02,0.8,51,0.0369986430984551,44.2,1.5,3.7064993710874743e-06,63.9,2.8,15.98,0.51,0.7503,0.7672,59.2417,0.0097,7.0164,0.5013,0.5047,292.8258,0.0704,4.293,0.29,0.66669,NaN,NaN,NaN
6027467,0.647894,0.647897,0.647896,1.000005,575,0.1076786486889351,6.6,1.6,0.1045219318308332,6.6,1.6,15.27,0.41,51,0.0409471772402033,1.0,1.0,0.041520055096595,1.0,1.0,15.25,0.27,1.5435,1.5802,27.2517,0.0263,7.9672,1.5434,1.5656,45.2182,0.0302,3.5177,0.14,0.0,NaN,NaN,NaN
6052784,0.762751,0.216227,0.489489,0.283483,365,0.2337652492205501,5.5,1.8,0.6719942870374414,9.1,2.2,15.36,0.21,49,0.1136942589971639,1.0,0.9,0.6602375733533671,6.5,3.3,15.49,0.1,1.311,1.332,47.8011,0.0361,7.6037,2.3124,2.4155,9.6956,0.0369,5.4459,0.11,1.11652,NaN,NaN,NaN
6059165,0.314682,0.314732,0.314707,1.000159,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1778,3.3265,6.7238,0.014,5.3195,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,NaN,NaN,NaN
6070196,20463.009798,1.430684,10232.220241,7e-05,316,3.959489233343848e-08,9.7,1.8,8.509471375668653e-08,9.5,1.7,-39423.72,1382619.27,113,0.6303222506223463,1.0,1.0,3.7840934825950085e-08,0.9,1.0,15.32,0.02,0.0,0.0,0.0,0.0,0.0,2.9166,3.0056,11.241,0.0106,7.6632,1382619.25,1.99972,NaN,NaN,NaN
60758,0.147834,0.147836,0.147835,1.000014,295,0.1564154992861303,0.7,0.8,0.154975812989637,0.8,0.8,16.21,0.33,61,0.0541252408084544,3.2,1.4,0.0450640581776038,3.2,1.2,15.98,0.34,6.7643,6.8349,14.1693,0.0073,21.5424,2.0024,2.0122,101.7812,0.0117,3.8452,0.01,1e-05,NaN,NaN,NaN
6095278,0.493218,0.49322,0.493219,1.000004,305,0.0553347730732314,4.5,1.6,0.0548990095520674,4.7,1.6,15.21,1.11,15,6.850394494845036e-06,0.1,0.0,4.750553321659967e-06,0.1,0.0,-8.09,24.79,2.0275,2.0522,40.4776,0.0859,12.9585,0.5425,0.5495,142.2475,19.2725,30.779,23.68,0.0,NaN,NaN,NaN
6102896,0.999846,0.997347,0.998596,0.997501,270,0.0026236607537995,1.9,1.1,0.0775900418903322,2.9,1.1,15.83,13.97,65,0.0001618808429202,1.2,1.0,0.003649195895653,1.0,1.0,15.7,83.31,1.0002,1.0166,60.9013,0.0343,7.1767,0.3983,0.402,273.9726,0.0951,5.7699,69.34,0.0025,NaN,NaN,NaN
6111916,20703.244937,0.999982,10352.12246,4.8e-05,307,2.0086217714432307e-08,7.0,1.4,7.959281848335386e-08,6.5,1.2,-1714321.62,2775574.35,114,1.9861134512165426e-05,1.6,1.4,1.0961539148410249e-08,1.7,1.4,-786.91,802.7,0.0,0.0,0.0,0.0,0.0,2.942,3.0685,7.9008,0.0068,4.0857,2774771.65,1.99981,NaN,NaN,NaN
6127356,0.520626,0.499305,0.509966,0.959047,329,0.0575817813876714,6.9,1.5,0.5705218432613077,88.2,8.5,15.06,0.82,112,6.458666629500709e-05,162.9,14.3,0.39573077084661,136.3,11.9,-3021.64,3044.29,1.9208,2.0026,12.2182,0.115,17.5244,2.0028,2.0155,78.4314,0.01,3.7145,3043.47,0.04181,NaN,NaN,NaN
6153728,0.278054,0.278052,0.278053,0.999993,259,0.1390293779883568,1.8,1.3,0.1430023006660929,1.9,1.2,15.48,0.32,61,0.0510483333311234,1.4,1.1,0.0564152217281961,1.4,1.2,15.47,0.27,3.5964,3.667,14.1623,0.0241,14.1653,1.1988,1.2543,18.0375,0.0398,3.0035,0.05,1e-05,NaN,NaN,NaN
6158163,0.158031,0.158032,0.158032,1.000006,262,0.0977717243718302,1.6,1.1,0.1200010123774041,1.9,1.4,15.89,0.58,72,0.0507186082862043,6.0,2.4,0.0507186082862043,6.0,2.4,15.72,0.61,6.3279,6.3956,14.7612,0.0061,15.5217,1.0026,1.0302,36.2976,0.0374,8.4366,0.03,1e-05,NaN,NaN,NaN
6159569,0.340561,0.681117,0.510839,1.999985,280,0.1079044097618869,3.6,1.7,1.0220773454382908,40.3,6.9,14.91,0.33,61,0.0498868571636798,1.7,1.3,0.4180618142944963,62.8,8.4,14.95,0.27,2.9363,3.0069,14.1633,0.0478,16.4214,1.4682,1.5045,27.5065,0.0383,5.9948,0.06,0.66666,NaN,NaN,NaN
616222,0.173084,0.173081,0.173082,0.999983,570,0.073572907591823,4.4,1.9,0.1055692849408842,7.8,2.6,14.9,0.41,43,0.0392979935438163,2.3,1.1,0.0376738455580128,2.5,1.1,14.65,0.44,5.7776,5.8114,29.5465,0.012,42.7139,2.0028,2.0806,12.8576,0.0877,6.8198,0.03,2e-05,NaN,NaN,NaN
6187529,0.167745,0.33549,0.251618,2.0,282,0.175873545736143,2.7,1.3,0.9587545483638268,10.1,3.3,15.94,0.36,39,0.0368793800119307,2.0,1.2,0.0552239403737142,81.1,10.9,15.87,0.4,5.9614,5.9981,27.3,0.0088,16.9621,2.9807,3.0055,40.3388,0.065,10.5601,0.04,0.66667,NaN,NaN,NaN
6203836,1.721442,232.390372,117.055907,134.997503,308,0.0537504424794032,2.8,0.9,0.5523827384468786,5.1,0.8,15.04,0.35,124,0.5785600774018482,1.1,1.0,0.3940188590790363,0.9,1.0,14.83,0.02,0.5809,0.5841,315.4574,0.0196,8.5108,0.0357,0.0357,0.0,1.9645,3.4967,0.33,1.97059,NaN,NaN,NaN
