LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,LPlin_rmsdmag,LPlin_chi2dof,LPlin_chi2dofR,LPmean_rmsdmag,LPmean_chi2dof,LPmean_chi2dofR,Lmmax,Lampl,NdataZTF,ZPztf_rmsdmag,ZPztf_chi2dof,ZPztf_chi2dofR,ZPmean_rmsdmag,ZPmean_chi2dof,ZPmean_chi2dofR,Zmmax,Zampl,Lindicator,Llimit,Zindicator,Zlimit,LC TYPE
8756859,8756859.0,0.2903951647849819,4.886411116981372,2.588403140883177,16.826764731428746,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.25,0.0,2
8780321,0.2858055724518047,0.2858029335264025,0.2858042529891036,0.9999907667111612,236.0,0.1229160884475732,2.125270466519958,1.2092223796338584,0.1146696379036333,2.186720227619231,1.131021936778307,15.43608130505728,0.369097909171785,718,0.1100483961611835,5.073808248680566,2.2308274761316462,0.1096953253918399,4.928565571170222,2.231576840904872,15.412769977758922,0.328803223684897,1,0.25,0.0,0.25,2
8799313,0.3275600328419942,0.3275430990155154,0.3275515659287548,0.9999483031359722,280.0,0.1446191257300404,1.3170258238038146,1.05470582347204,0.1722407575131718,1.7331814397681542,1.1051139922143396,16.1813954728274,0.4689389185350201,749,0.0564250753696092,3.8273440087066057,1.5898571324247566,0.0942178745562188,9.483603671734828,2.533866923036664,16.145648631302482,0.4007283148361438,1,0.25,0.0,0.25,2
8854248,0.34747992963397,0.3474770543828437,0.3474784920084069,0.999991725418129,336.0,0.1528073994675969,3.168227690463895,1.6357067345509273,0.1622821795979411,3.207650309563921,1.650256936592283,15.57881992385806,0.3951679579970673,270,0.043078118046759,2.610235627281914,1.345242315068386,0.0413295533705393,2.7741519274994144,1.302504211491807,15.605371714736558,0.397044765404404,1,0.25,0.0,0.25,2
8896747,0.3620614641554041,0.3620640329204233,0.3620627485379137,1.00000709483133,290.0,0.1323294613532585,0.8416705275544052,0.7858328121619987,0.1300297673514496,0.8530213291858748,0.7562884863416381,16.203979559018652,0.3486640431016532,374,0.0684078984286519,2.6361707379808523,1.423375097945106,0.0699439114760879,2.7720345185801563,1.4228966314478528,16.17317152705202,0.3407711141964604,1,0.25,1.0,0.25,2
8907625,0.3595227822354691,0.3595249069002452,0.3595238445678571,1.0000059096805018,257.0,0.1640775986654835,0.5991721410932845,0.7424038871062058,0.1536160276240695,0.6054048339269541,0.7173157283976096,16.393686309949675,0.3266301239395801,396,0.0681711306965248,2.2644473455234806,1.33366447196582,0.0672072366012088,2.242597700848452,1.3140889329237502,16.338405841843578,0.3202032575847227,1,0.25,1.0,0.25,2
8972895,0.3534757861400708,0.3534687961873112,0.353472291163691,0.9999802250874495,185.0,0.0687884828655469,2.938159133384373,1.3369578029406233,0.0709086162520147,3.637900999962268,1.289288541642314,15.079343251385554,0.477806524737792,620,0.0460232978840747,3.918956320682478,1.6024016422797218,0.0508649767293615,4.966925925064833,1.7850444548437774,15.05001922136365,0.4661417651263662,0,0.25,1.0,0.25,2
8999679,0.3387933588891424,0.3387917041188553,0.3387925315039989,0.999995115694438,273.0,0.0684758444930264,3.473058314583434,1.3694241631939164,0.0659495922187556,3.5132234184140265,1.353705817205973,14.938801754511678,0.3727646616845863,591,0.0525150588117948,2.111638090722301,1.2869467806113422,0.0524999381414638,2.1359726764880804,1.2882553996587718,14.909320310281142,0.3482283003376167,1,0.25,0.0,0.25,2
9001883,0.3098250649102445,0.3098246159006233,0.3098248404054339,0.9999985507640534,216.0,0.0457203093254184,1.053991188285057,0.9563531694846868,0.046265232318548,1.0556009996528064,0.9798411539118372,15.006845077999692,0.4182845528653818,1217,0.046323522578092,2.860787901947607,1.426310112990642,0.0465261692784662,2.848561571561532,1.431226034664144,14.95629710472759,0.41527628767661,1,0.25,0.0,0.25,2
9017843,0.2712071337906442,0.2712039132009919,0.271205523495818,0.9999881249817903,249.0,0.1444237201240365,0.8399526124509494,0.8870067828210755,0.1496654699349939,0.8519745156673761,0.9500686110321084,16.24945170879252,0.4286239636218951,637,0.0570211509487403,2.426057245467504,1.3430380175749217,0.0597686394141772,2.614148767305831,1.415594196424698,16.242189429932303,0.3706603128795933,0,0.25,0.0,0.25,2
9025455,0.3928768508440936,0.5707058483697607,0.4817913496069271,1.4526329233794315,267.0,0.1063498179951576,6.590212726690884,1.981939554270076,0.8879633362926245,52.8278674732435,8.726435000138736,15.017295572649086,0.4183027849214884,68,0.788155066458899,131.54891567704038,14.924471338853216,0.1838691900075855,88.34648232338007,8.16420815158253,15.08970359507341,0.2353870194791731,0,0.25,0.0,0.25,2
9038263,0.3330291233261352,0.3378396288241056,0.3354343760751204,1.0144446991600171,237.0,0.3480915446415728,10.847589240300348,3.600995916941143,0.8706660922114924,9.90513848646671,3.6137569814373305,15.478212466593106,0.4716022595720854,573,0.0589207520387201,1.650173548938026,1.1654232510283684,1.0915185487189811,50.3466984689726,9.346259375570629,15.663089182790271,0.3212344151396546,1,0.25,1.0,0.25,2
9093796,0.3332087902657954,0.3332148752668109,0.3332118327663032,1.000018261826198,238.0,0.2146409906408602,1.52306425263904,1.0276678530089811,0.2273853910347758,1.573134588360202,0.9594750706080696,16.514937269975725,0.3619885933375713,587,0.0635927088397,2.00792314527062,1.2921881488334763,0.0724893466924494,2.3589398910039727,1.45243763733174,16.472409507361938,0.331154503916796,0,0.25,0.0,0.25,2
9142645,0.3557057151847562,0.3557013297666014,0.3557035224756788,0.9999876712181794,269.0,0.2089692683847757,2.23482633546325,1.3592662114246237,0.2066880821235215,2.3172216954085205,1.2949741153006638,16.07141418214623,0.3378235206760784,321,0.158283779729922,17.105150278354877,3.615195401722531,0.1663597601172626,17.851248406954074,3.842818476287248,16.07594076296303,0.3353357069447611,1,0.25,0.0,0.25,2
9184719,0.292249204346958,0.2922512418251359,0.292250223086047,1.0000069717150557,184.0,0.171918687397749,1.529297802009042,1.1015941494199946,0.1642990119891164,1.523215067098251,1.0143458935758156,16.069872544527318,0.5070889726886882,1412,0.0390796398370262,1.455422735209812,1.146518874468896,0.040894382033469,1.7125141999307747,1.219330442942006,16.04507401415855,0.4215228321924442,1,0.25,0.0,0.25,2
