ID,Porig,Pnew,ra,dec,ug,gi,iK,JK,logP,Ampl,skew,kurt,magMed,nObs,LCtype,lab,bab
12030800,0.57753299,0.57753462,218.223633,1.381454,1.18,0.34,1.6,0.7,-0.2384232,0.74,-0.02,-0.43,16.84,251,1,-0.16449728200046465,0.9526530656160649
12031948,0.60407797,0.60406681,219.307907,2.772289,1.09,0.31,1.36,0.34,-0.218907,0.76,-0.18,-0.14,14.83,209,1,-0.11196287151543771,0.957854146787008
12035870,0.60364999,0.60364031,219.305679,0.273068,1.16,0.22,0.82,0.11,-0.2192148,0.64,-0.07,-1.15,15.95,244,1,-0.16200146117011371,0.9256528220877126
12039129,0.63623389,0.63621684,219.897598,0.401972,1.19,0.34,1.48,0.6,-0.1963832,0.42,-0.24,-0.72,15.75,219,1,-0.14672983021516295,0.9204866475018094
12052216,0.6140911,0.61408335,219.067993,11.115615,1.17,0.32,1.22,0.37,-0.2117672,0.46,-0.35,-1.04,16.39,192,1,0.08710938296703707,1.0580884057290423
12052313,0.61741304,0.61742627,219.151413,12.068725,1.15,0.33,1.0,0.3,-0.2094242,0.42,0.26,2.31,15.32,223,1,0.11646582098558156,1.0667277855264143
12058420,0.33137802,0.33138303,219.691742,12.335286,1.19,-0.21,0.46,0.06,-0.4796763,0.49,-0.07,-1.51,15.72,186,2,0.13519320385948097,1.0618234103283102
12059457,0.303621,0.30362064,218.197418,12.785151,1.19,0.03,0.72,0.18,-0.5176682,0.33,0.0,-1.33,14.64,80,2,0.11828096340765581,1.0872179509448276
12062665,0.52376298,0.52375939,219.157883,14.796942,1.23,-0.07,0.89,0.33,-0.2808652,0.88,-0.24,-1.03,15.8,186,1,0.20113174299982672,1.09269828479609
12069774,0.41516497,0.41517303,218.044525,13.251602,1.24,-0.07,0.69,0.29,-0.3817793,0.42,-0.07,-1.35,15.62,179,2,0.12957324366805922,1.0939898284425658
12074944,0.468265,0.46825458,218.716354,16.122295,1.18,0.25,1.23,0.22,-0.3295083,0.96,-0.78,-0.47,16.29,206,1,0.2372076986385494,1.1107100826766714
12077930,0.57966903,0.57966876,219.488174,16.325624,1.18,0.34,0.87,0.03,-0.2368199,0.68,-0.28,-1.04,16.62,176,1,0.25797711673728196,1.1010584119131428
