objectID,raLIN,decLIN,raSDSS,decSDSS,r,ug,gr,ri,iz,JK,<mL>,std,rms,Lchi2,LP1,phi1,S,prior,nobs
22283909,156.00401,23.57355,156.003952,23.573521,16.13,1.15,0.22,0.05,0.02,0.34,16.22,0.29,0.33,1.74,-0.24,-0.03,-1,0,344
2229607,177.4888,30.28025,177.488724,30.280064,16.24,1.2,0.06,-0.0,-0.03,0.18,16.54,0.2,0.22,1.15,0.24,-0.01,1,0,290
22309292,157.08533,30.1373,157.085297,30.137175,16.54,1.15,0.24,0.08,-0.01,-0.09,16.58,0.27,0.31,1.48,-0.24,-0.12,1,0,302
22315266,157.07921,4.08383,157.079193,4.083861,15.77,1.09,0.08,0.04,-0.03,0.6,16.02,0.2,0.25,1.6,-0.21,0.04,-1,0,545
22316675,157.53474,3.60244,157.534698,3.602289,15.55,1.1,0.17,0.1,-0.02,0.34,15.58,0.12,0.15,1.56,-0.06,-0.03,-1,0,506
22317507,156.21759,3.35032,156.217453,3.350196,16.7,1.19,0.1,-0.02,-0.02,0.43,16.97,0.23,0.26,0.8,-0.26,0.04,-1,0,346
22318468,156.40038,4.13763,156.400345,4.137671,15.77,1.13,0.44,0.15,0.05,0.44,15.88,0.15,0.07,0.52,0.26,-0.02,-1,0,527
22319996,156.78062,3.48682,156.780594,3.486753,15.44,1.2,0.12,0.02,-0.03,0.43,15.67,0.27,0.34,2.32,-0.32,-0.1,-1,0,514
22322024,157.80141,3.79123,157.801392,3.791369,16.57,1.14,0.15,0.01,-0.02,-0.02,16.52,0.14,0.19,0.8,-0.18,0.04,1,0,541
22323193,156.40048,3.9888,156.400467,3.988907,16.18,1.1,0.41,0.16,0.03,0.39,16.3,0.24,0.12,0.76,0.26,0.15,-1,0,515
22345256,157.5237,31.83138,157.523651,31.831406,16.82,1.09,0.23,0.05,0.02,0.49,16.8,0.23,0.25,1.05,-0.21,0.08,-1,0,287
22346514,157.01428,32.7911,157.014221,32.791042,16.11,1.14,0.22,0.08,0.0,0.42,16.08,0.17,0.22,1.34,-0.22,-0.0,1,0,309
22392699,157.54874,41.19455,157.548767,41.19437,16.33,1.14,0.23,0.03,0.07,0.44,16.36,0.26,0.31,1.58,-0.27,-0.16,-1,0,279
