LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
18102636,0.351465,0.351482,0.351474,1.000048,213,1.0,1.0,1.8,1.3,15.67,0.5,1313,16.4,3.3,35.4,4.1,15.63,0.6,2.8452,2.9468,9.8445,0.0328,8.2077,2.8451,2.9239,12.6839,0.0004,18.827,0.1,5e-05,-,LZ4,7
18465689,0.547884,0.547895,0.54789,1.00002,215,2.6,1.2,2.8,1.3,15.78,0.54,1391,26.1,3.7,26.6,3.7,15.63,0.62,1.8252,1.8594,29.2869,0.0399,5.6689,1.8252,1.8306,184.5018,0.0014,19.3416,0.08,2e-05,-,LZ4,5
18616226,0.3822,0.382179,0.382189,0.999945,188,1.5,1.3,1.8,1.5,15.97,0.41,724,5.9,2.1,10.8,2.4,15.98,0.36,2.6164,2.6819,15.2648,0.0625,6.2347,2.6166,2.6916,13.3316,0.001,9.5585,0.05,5e-05,-,LZ3,5
18836175,0.544014,0.544001,0.544008,0.999976,212,4.5,1.8,4.6,1.7,15.67,0.73,2727,41.0,4.6,45.8,4.6,15.67,0.66,1.8382,1.9033,15.3516,0.0739,5.2621,1.8382,1.9205,12.1595,0.0165,9.417,0.07,2e-05,-,LZ4,5
18870159,0.531439,0.531407,0.531423,0.99994,205,1.3,1.0,1.4,1.1,16.4,0.71,2861,23.8,4.2,47.9,4.9,16.46,0.93,1.8817,1.9492,14.8006,0.0744,6.5414,1.8818,1.9422,16.5426,0.0076,21.4391,0.22,6e-05,-,LZ4,8
18870268,0.589831,0.589804,0.589818,0.999954,202,1.1,0.9,1.7,1.1,15.43,0.76,2797,15.5,3.2,30.5,3.8,15.46,0.85,1.6954,1.7294,29.4247,0.1606,8.7901,1.6955,1.7373,23.8977,0.0007,16.0083,0.09,5e-05,-,LZ4,7
18875199,0.634381,0.63438,0.63438,0.999998,228,1.3,0.8,1.3,0.8,15.91,0.81,2781,13.4,2.9,13.4,2.9,15.87,1.06,1.5763,1.6254,20.3915,0.0943,6.4604,1.5763,1.6263,20.004,0.0008,14.6801,0.25,0.0,-,LZ3,5
19356745,0.549451,0.549431,0.549441,0.999964,233,3.1,1.4,5.6,1.8,15.24,0.84,746,18.8,2.6,29.6,2.8,15.22,0.74,1.82,1.8228,355.8719,0.1242,10.7727,1.8201,1.8809,16.4285,0.0019,17.7599,0.1,4e-05,-,LZ3,5
19372092,0.601367,0.601375,0.601371,1.000013,193,1.1,0.8,1.1,0.8,16.22,0.59,1178,26.7,3.3,27.1,3.4,16.28,0.47,1.6629,1.6933,32.8407,0.0894,4.838,1.6629,1.6664,283.2861,0.0039,20.8381,0.12,1e-05,-,LZ4,5
19403325,0.656846,0.656853,0.65685,1.000011,236,1.0,1.0,1.0,0.9,16.15,0.68,2132,11.3,2.1,12.2,2.1,16.12,0.96,1.5224,1.5694,21.3015,0.0979,8.0957,1.5224,1.5619,25.3485,0.0041,12.4169,0.28,1e-05,-,LZ3,5
19408994,0.64974,0.649804,0.649772,1.000099,217,3.0,1.3,5.4,1.5,15.78,0.79,1219,80.0,5.1,116.8,7.2,15.85,0.63,1.5391,1.6018,15.9426,0.0722,5.5892,1.5389,1.6113,13.8102,0.0039,3.2889,0.16,0.0001,-,LZ5,9
19466437,0.542637,0.542515,0.542576,0.999775,208,2.2,1.0,47.2,5.1,14.89,1.14,1270,31.7,2.8,762.5,21.4,14.71,1.49,1.8429,1.9228,12.5117,0.1602,6.4657,1.8433,1.923,12.5423,0.0098,11.378,0.35,0.00022,-,LZ3,7
19773423,0.476257,0.476279,0.476268,1.000046,240,5.5,1.5,5.8,1.5,15.65,0.86,920,91.1,5.4,150.6,6.2,15.5,1.18,2.0997,2.1482,20.6228,0.067,9.1173,2.0996,2.1481,20.6356,0.0074,29.5051,0.32,5e-05,-,LZ5,9
