,LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score,period_vs_amp,Quality flag
16,2079147,0.617457,0.617458,0.617458,1.000002,459,0.0741477677504628,0.9,0.8,0.0733611615524358,0.8,0.7,15.9,0.46,44,0.0459090658937486,1.3,1.1,0.0459090658937486,1.3,1.1,15.81,0.42,1.6195,1.6534,29.5377,0.0798,14.2038,1.6195,1.6407,47.2367,0.0597,5.8857,0.04,0.0,Z,,,,2
17,2276533,0.586232,0.586234,0.586233,1.000003,322,0.0841959452733917,1.0,0.9,0.0855243408471698,1.0,0.9,15.8,0.64,51,0.0251853561025816,1.5,0.9,0.0286999429542926,1.6,1.0,15.8,0.53,1.7058,1.7736,14.7514,0.1174,10.1631,0.8528,0.8637,91.9118,0.0631,5.4908,0.11,0.0,Z,,,,2
18,2669011,0.591153,0.591151,0.591152,0.999997,450,0.0416784570304135,2.4,1.1,0.0404391809353504,2.3,1.1,15.03,0.66,41,0.0232743512551499,1.5,0.7,0.0219787529613849,1.5,0.7,15.05,0.5,1.6916,1.7256,29.4464,0.1033,14.9008,1.6916,1.7015,101.2146,0.0751,6.536,0.16,0.0,Z,,,,2
19,2714034,0.610868,0.6108,0.610834,0.999889,536,0.1201906086215582,2.4,1.5,0.1838350579308633,6.4,1.9,15.69,0.46,42,0.0278351504234706,0.7,0.8,0.0364478350317299,1.4,1.1,15.59,0.4,1.637,1.6708,29.5989,0.0533,12.1025,1.0001,1.0034,302.1148,2.8246,143.2064,0.06,0.00011,Z,,,,2
20,3196582,0.268017,0.268018,0.268018,1.000004,479,0.1329389977441877,8.6,2.5,0.1316885292568706,9.0,2.5,14.82,0.35,48,0.0583139813822479,2.5,1.4,0.0583139813822479,2.5,1.4,14.89,0.27,3.7311,3.765,29.5203,0.0285,25.6121,1.0031,1.0062,319.4888,0.1522,9.0641,0.08,0.0,Z,,,,2
21,3219035,0.326746,0.326509,0.326627,0.999275,376,0.2276583527119551,23.9,3.9,0.8243722771123498,51.5,7.6,14.83,0.32,168,0.1393036719935862,11.5,2.6,0.3594969252068888,39.5,5.0,14.93,0.23,3.0605,3.1287,14.6692,0.0327,10.1934,3.0627,3.0661,294.1176,0.02,12.0769,0.09,0.00073,,Z,11.0,period,2
22,3377349,0.584204,0.584209,0.584206,1.000009,547,0.0397967823485357,6.9,1.6,0.037701293065731,6.6,1.5,14.71,0.64,47,0.0269413798679002,1.0,1.1,0.0230299660942166,0.9,1.0,14.69,0.54,1.7117,1.7457,29.4377,0.0616,17.795,0.9999,1.0031,318.9793,0.4283,17.5627,0.1,1e-05,Z,,,,2
23,5549773,0.374917,0.374914,0.374916,0.999992,533,0.0908883145126392,0.6,0.7,0.0916782581200323,0.6,0.7,16.02,0.38,45,0.0387322840281059,0.9,0.9,0.0462210254633886,0.9,1.0,16.01,0.28,2.6673,2.7012,29.4681,0.0441,20.1079,2.6673,2.6704,320.5128,0.0681,11.7385,0.1,1e-05,Z,,,,2
24,5895287,0.539169,0.539184,0.539176,1.000028,522,0.0953663155453932,5.2,1.7,0.0979940619292697,6.4,1.8,15.53,0.75,45,0.0709824026344161,13.7,3.0,0.0753145023866393,14.0,3.2,15.65,0.52,1.8547,1.8887,29.4594,0.0689,14.0426,1.8547,1.8773,44.1112,0.0533,5.0135,0.23,3e-05,Z,,,,2
25,7411461,0.467033,0.482633,0.474833,1.033402,552,0.0649120947218648,2.4,1.0,0.772525121761106,34.9,4.8,15.83,1.09,43,0.0951878992017451,75.8,6.2,0.4714562758521174,185.5,9.3,15.7,1.1,2.1412,2.1751,29.4811,0.0736,14.6889,1.1383,1.1922,18.5718,0.1376,0.8074,0.01,0.03285,,Z,7.0,period,2
26,7580734,0.314956,0.314957,0.314956,1.000003,387,0.1691748133396496,4.1,2.0,0.1691748133396496,4.1,2.0,15.46,0.38,69,0.1328188477314949,12.6,2.9,0.1276706546961379,12.8,3.0,15.59,0.29,3.175,3.2089,29.5596,0.0295,16.956,1.0583,1.0861,36.0295,0.0977,13.3639,0.09,0.0,Z,,,,2
27,7997579,0.486693,0.486689,0.486691,0.999992,465,0.1527172050601566,2.6,1.3,0.1555399325918763,2.6,1.3,16.32,0.77,45,0.1038396853228787,8.4,2.6,0.0998218482544438,8.1,2.5,16.54,0.48,2.0547,2.0886,29.4551,0.0694,10.7203,2.0546,2.0601,182.8154,0.0622,6.5504,0.29,1e-05,Z,,,,2
28,8337518,0.536969,0.53697,0.53697,1.000002,466,0.0659019998243113,1.0,0.8,0.0674681448597328,1.0,0.8,16.24,0.96,66,0.0314370073749096,2.1,1.2,0.0314370073749096,2.1,1.2,16.33,0.68,1.8623,1.8962,29.5159,0.0885,11.0986,1.8623,1.8852,43.63,0.0526,8.7487,0.28,0.0,Z,,,,2
29,17266250,0.28381,0.283811,0.28381,1.000004,551,0.0566245130103826,17.2,2.3,0.0566245130103826,17.2,2.3,14.23,0.44,41,0.047279086628428,1.2,1.2,0.0457384051349213,1.2,1.2,14.27,0.34,3.5235,3.5574,29.5116,0.0277,30.7598,3.5235,3.5423,53.1067,0.0588,10.7775,0.1,0.0,Z,,,,2
30,21397555,0.278619,0.27862,0.27862,1.000004,434,0.0956460324121172,1.6,1.1,0.0979189709158238,1.6,1.1,15.7,0.4,41,0.0337039486420743,0.7,0.7,0.0337039486420743,0.7,0.7,15.76,0.29,3.5891,3.623,29.5203,0.0313,26.4225,1.1964,1.2105,70.7464,0.0876,6.0639,0.11,0.0,Z,,,,2
31,21460667,0.534598,0.534601,0.5346,1.000006,441,0.0790458072300904,3.7,1.7,0.0853236226829257,4.1,1.7,15.52,0.86,43,0.0348942148663466,2.3,1.6,0.0370142309875618,2.3,1.7,15.62,0.6,1.8706,1.9044,29.5334,0.0519,12.4177,0.9353,0.9578,44.4543,0.2924,12.0856,0.26,1e-05,Z,,,,2
32,62892,0.530776,0.530785,0.53078,1.000017,276,0.1085350041630939,1.1,0.9,0.114347337942149,1.1,1.0,16.08,0.62,61,0.0849482129585269,6.6,2.4,0.0943637299228965,6.5,2.8,16.1,0.42,1.884,1.9519,14.7319,0.0658,7.1233,1.884,1.9434,16.8265,0.0291,4.9825,0.2,2e-05,,,,,1
33,1491775,0.785391,0.354951,0.570171,0.451942,293,0.1836205901118293,4.8,2.0,0.5377800223497867,13.8,3.8,15.72,0.4,152,0.0908072952320943,9.3,2.2,0.966044145593974,68.4,10.8,15.82,0.32,1.2733,1.2845,88.7311,0.1242,12.5865,2.8174,2.8222,209.4241,0.0407,14.9164,0.08,0.75493,,,,,1
34,1615764,0.488189,0.48819,0.48819,1.000002,334,0.0538450194999486,3.0,1.5,0.0511508670338942,3.0,1.4,15.32,1.07,80,0.0322077979846741,3.4,1.6,0.0322077979846741,3.4,1.6,15.44,0.83,2.0484,2.0712,43.8789,0.0866,11.1127,2.0484,2.0712,43.8404,0.0504,10.5182,0.24,0.0,,,,,1
35,2041979,0.653694,0.653639,0.653666,0.999916,276,0.1346473218004794,1.5,1.2,0.1815838597679481,2.4,1.3,16.14,0.63,304,0.1691178755207829,17.7,3.8,0.1670718755276403,17.7,3.5,16.22,0.33,1.5298,1.5944,15.4607,0.063,6.6223,1.5299,1.5347,207.4689,0.0144,9.8341,0.3,8e-05,,,,,1
36,3218931,0.693979,0.693939,0.693959,0.999942,274,0.0499011100764189,28.8,2.6,0.0499197256042523,32.7,2.6,14.24,0.79,171,0.0473405255838957,5.5,2.2,0.0468478024285794,7.8,2.1,14.28,0.59,1.441,1.5088,14.7395,0.0912,2.4484,1.4411,1.446,203.666,0.0197,8.6264,0.2,6e-05,,,,,1
37,3589854,0.612893,0.612953,0.612923,1.000098,468,0.1100567167418435,29.1,3.9,0.1687149973507319,47.9,5.2,14.57,0.49,45,0.1158212714274583,34.1,3.8,0.1333128004702836,43.3,4.3,14.52,0.39,1.6316,1.6656,29.4031,0.0565,15.3618,1.3169,1.3741,17.4978,0.1024,4.2129,0.1,0.0001,,,,,1
38,3941776,0.532222,0.532209,0.532216,0.999976,271,0.0849813684972384,18.8,2.8,0.0860354780883889,21.2,2.9,14.88,0.77,45,0.0841669519636859,21.4,3.6,0.0770345416362265,20.8,3.3,14.94,0.54,1.8789,1.9253,21.5564,0.065,9.3459,1.0001,1.0396,25.2685,0.1443,4.1216,0.23,2e-05,,,,,1
39,4545362,0.52132,0.521322,0.521321,1.000004,483,0.0680745510644445,1.3,1.0,0.0664582802517355,1.4,1.0,15.92,0.96,45,0.0196656425985491,1.3,1.0,0.0195363653525129,1.4,1.0,16.06,0.72,1.9182,1.952,29.634,0.0608,13.004,2.0003,2.0049,219.539,0.4133,44.9517,0.24,0.0,,,,,1
40,4546177,0.536335,0.536311,0.536323,0.999955,255,0.1457434764395732,20.2,3.3,0.1482517466858078,22.8,3.3,15.09,0.76,45,0.0983990329582291,19.4,4.5,0.0926497678094839,19.2,4.5,15.25,0.53,1.8645,1.9337,14.4592,0.1093,8.5173,1.8647,1.9338,14.4781,0.0562,6.2045,0.23,4e-05,,,,,1
41,4912051,0.571577,0.571435,0.571506,0.999752,638,0.1480967267654705,9.4,2.1,0.2694129125357141,24.7,2.9,15.61,0.63,45,0.1466565391549391,36.5,4.9,0.1729129195238086,40.2,5.4,15.74,0.42,1.7495,1.7835,29.4855,0.0387,11.1132,2.0034,2.0944,10.986,0.0632,4.6086,0.21,0.00025,,,,,1
42,6022777,0.495745,0.495724,0.495734,0.999958,572,0.0531047059210001,8.2,1.6,0.0609155625420289,16.9,1.6,15.19,1.01,51,0.0296734554744965,6.4,1.8,0.0380294239793608,9.1,2.2,15.41,0.76,2.0172,2.0244,138.6963,0.0572,13.0042,2.0024,2.0173,67.1141,0.1333,12.0517,0.25,4e-05,,,,,1
43,7555727,0.990143,0.393013,0.691578,0.396925,260,0.3935586357489468,7.6,2.9,0.7560872071554501,12.0,4.0,15.55,0.32,197,0.0866865960458608,4.8,1.8,2.9130861950862537,52.9,10.3,15.58,0.27,1.01,1.0271,58.4283,0.1131,9.1663,2.5444,2.5476,316.4557,0.0116,14.6479,0.05,0.86343,,,,,1
44,9961135,0.590896,0.590891,0.590894,0.999992,296,0.0866729122113347,2.6,1.1,0.0908926000429105,2.7,1.1,15.58,0.57,71,0.0685711644303672,4.7,1.8,0.0620924618619018,4.7,1.7,15.56,0.45,1.6923,1.7099,57.0288,0.0961,7.3855,1.6924,1.6977,186.2197,0.0318,7.71,0.12,1e-05,,,,,1
45,10481905,0.48472,0.484775,0.484748,1.000113,510,0.1163592439032196,18.1,2.6,0.2102340344855031,38.6,4.2,15.11,0.71,62,0.0669509266075213,50.4,3.3,0.1422897901445639,77.1,6.2,15.15,0.6,2.063,2.097,29.4898,0.0528,11.9191,1.0001,1.0046,220.5072,0.0278,3.9229,0.11,0.00011,,,,,1
