LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,LCtype,IndicatorType,ChiType,BE_score,period_vs_amp
5549773,0.374917,0.374914,0.374916,0.999992,533,0.0908883145126392,0.6,0.7,0.0916782581200323,0.6,0.7,16.02,0.38,45,0.0387322840281059,0.9,0.9,0.0462210254633886,0.9,1.0,16.01,0.28,2.6673,2.7012,29.4681,0.0441,20.1079,2.6673,2.6704,320.5128,0.0681,11.7385,0.1,1e-05,1,Z,,,
5749985,0.606284,0.60629,0.606287,1.00001,340,0.110298811707468,1.0,0.8,0.1062095636398639,1.0,0.8,16.19,0.45,51,0.0304788110673449,1.1,0.7,0.0319173527815266,1.1,0.7,16.15,0.35,1.6494,1.7171,14.7612,0.0639,7.5675,1.6494,1.6533,254.1296,0.0502,6.7386,0.1,1e-05,1,Z,,,
5895287,0.539169,0.539184,0.539176,1.000028,522,0.0953663155453932,5.2,1.7,0.0979940619292697,6.4,1.8,15.53,0.75,45,0.0709824026344161,13.7,3.0,0.0753145023866393,14.0,3.2,15.65,0.52,1.8547,1.8887,29.4594,0.0689,14.0426,1.8547,1.8773,44.1112,0.0533,5.0135,0.23,3e-05,1,Z,,,
5931160,0.6647,0.664708,0.664704,1.000012,587,0.0511306764252143,0.9,0.8,0.0478784379987097,0.9,0.8,15.17,0.35,45,0.0380765985018731,1.0,0.9,0.0464217415317065,1.0,1.0,15.1,0.26,1.5044,1.5383,29.5421,0.0822,14.5345,1.5044,1.5162,84.4951,0.0545,5.8301,0.09,1e-05,1,Z,,,
6729261,0.279963,0.55992,0.419941,1.999979,625,0.3716251460298929,5.2,1.9,0.7772429541094513,8.5,2.6,15.84,0.21,43,0.2494559581260968,7.0,3.4,0.2871216801053026,16.3,3.9,15.98,0.18,3.5719,3.6058,29.4985,0.0127,21.3925,0.5692,0.5925,42.8541,0.1573,4.4135,0.03,0.66666,1,,Z,6.0,period
6819457,0.436282,0.436265,0.436274,0.999961,325,0.1202477732611472,32.5,3.6,0.1473590058839923,39.8,3.9,15.03,0.95,103,0.1557671245918419,71.8,8.1,0.1566812946924053,74.9,8.5,15.23,0.65,2.2921,2.295,346.0208,0.0669,9.4986,2.2922,2.3845,10.8301,0.0288,8.7593,0.3,4e-05,2,,Z,7.0,amp
6883239,0.563711,0.563712,0.563711,1.000002,305,0.0567179444329854,15.1,2.9,0.0567179444329854,15.1,2.9,14.35,0.79,66,0.0548182148739232,10.6,2.5,0.0534756865702515,10.6,2.5,14.45,0.56,1.774,1.8444,14.1935,0.0929,7.2619,1.774,1.7769,336.7003,0.0472,10.2268,0.23,0.0,1,,Z,10.0,amp
6918683,0.344067,0.344073,0.34407,1.000017,268,0.0842046072148762,1.3,1.1,0.0860415260702777,1.4,1.1,15.49,0.44,59,0.0436746598515096,1.2,1.1,0.0425024343068056,0.9,1.0,15.56,0.32,2.9064,2.9769,14.1844,0.0393,14.3588,1.4532,1.4626,106.1008,0.055,9.0648,0.12,2e-05,1,Z,,,
7086820,0.573677,0.573679,0.573678,1.000003,266,0.0512123808093738,3.1,1.0,0.052938109999529,3.1,1.0,15.47,0.97,42,0.0215945921278904,1.3,1.3,0.0221562107304119,1.3,1.3,15.57,0.71,1.7431,1.7771,29.4768,0.0755,11.646,1.743,1.7677,40.4613,0.0692,5.3548,0.26,0.0,1,Z,,,
7124989,0.613706,0.613707,0.613706,1.000002,608,0.0357477731977583,1.5,0.9,0.0357477731977583,1.5,0.9,15.21,0.84,43,0.0336172736450425,2.5,1.7,0.0336460786077905,2.4,1.7,15.24,0.64,1.6294,1.6633,29.5029,0.0412,11.8879,1.6295,1.6408,88.7705,0.0511,5.4589,0.2,0.0,1,Z,,,
