LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,LPlin_rmsdmag,LPlin_chi2dof,LPlin_chi2dofR,LPmean_rmsdmag,LPmean_chi2dof,LPmean_chi2dofR,Lmmax,Lampl,NdataZTF,ZPztf_rmsdmag,ZPztf_chi2dof,ZPztf_chi2dofR,ZPmean_rmsdmag,ZPmean_chi2dof,ZPmean_chi2dofR,Zmmax,Zampl,Lindicator,Llimit,Zindicator,Zlimit,Chi_diff_LINEAR,Chi_diff_ZTF,Ampl_diff
2574370,0.5465126714142279,0.5465245064649291,0.5465185889395785,1.0,433.0,0.0902397598648251,20.532589065711576,2.4173914683218856,0.0905965391167799,20.867930459600945,2.449761615881314,15.006147007221882,0.7293524680189076,282,0.0675413481141,28.77856811843901,2.9178551043895293,0.0587575762979649,30.26249627355041,2.550754281394472,15.01267717533185,0.647191724102175,1,0.25,0.0,0.25,0.0323701475594284,-0.3671008229950572,0.082
2584911,0.3797342424157566,0.37972598454725,0.3797301134815033,1.0,336.0,0.1421318690478097,0.6875374636480331,0.7583277901815195,0.1580014322376692,0.7270577224531595,0.8308223564366994,16.32654743957891,0.400165040308444,706,0.0511095416704378,1.8004068130188011,1.20814792112252,0.0615213378597979,2.541374521449003,1.498468429496353,16.287754328369555,0.3896283802653322,1,0.25,1.0,0.25,0.0724945662551799,0.2903205083738331,0.011
3160442,0.5938103602843765,0.5938058002252221,0.5938080802547994,1.0,260.0,0.1380419001284664,1.9504618904016144,1.1500688264818533,0.1427686487277087,1.997137596694689,1.131073299902303,16.065487194721694,0.5506539158142871,717,0.0774681267810391,11.99957334373866,2.7071861813856786,0.0781038603590114,11.845061882059104,2.785377942828656,16.037827047176936,0.5966330061506682,1,0.25,0.0,0.25,-0.0189955265795502,0.0781917614429774,0.046
4074683,0.6003356380518553,0.6003347741511886,0.6003352061015219,1.0,105.0,0.0685117739484948,0.4607323731467953,0.586591817347615,0.0668586909454479,0.4615718049293763,0.5932934470673493,16.23870433169161,0.9325758360339016,118,0.0211650536941478,2.279553813794164,1.1462559855035148,0.0209543134241005,2.183989914441407,1.1640703186182548,16.235922255396456,0.940302641231785,0,0.25,1.0,0.25,0.0067016297197343,0.01781433311474,0.008
4329665,0.58584620293872,0.5858459590184961,0.5858460809786081,1.0,448.0,0.1798502722428735,1.7094323685456485,1.0498232261380016,0.1796374023126262,1.7092256586061525,1.0475110220534534,16.442346114485556,0.5893101203702145,290,0.0753015438688893,10.307425202195333,2.3378328029773128,0.0755120615128684,10.3148812461114,2.3483660551923946,16.478607650405426,0.6167941355008928,1,0.25,0.0,0.25,-0.0023122040845482,0.0105332522150818,0.027
4359545,0.5143045023795304,0.5143104285360113,0.5143074654577708,1.0,278.0,0.1406708969602485,19.70090563776586,2.830571056887339,0.1411903968527712,19.84602895486469,2.8266270044630226,15.316155502561587,0.6930750571594455,895,0.1280979494903187,48.84802631548456,6.802052100962371,0.1255237075961012,49.571319028481646,6.7512560344129255,15.2679733380419,0.7113981559716098,1,0.25,1.0,0.25,-0.0039440524243161,-0.0507960665494451,0.018
4496463,0.6224015377014903,0.6223992235321881,0.6224003806168392,1.0,229.0,0.0582059395979637,1.0035829029627603,0.7796722006308677,0.0585958510197919,1.0078233298784982,0.7877804770064744,15.337029570134325,0.3492653627757001,677,0.0456973760128854,1.932528352013308,1.2615794525075037,0.0455030432965028,1.9313849262302696,1.253283309791061,15.272899670048416,0.3631230417262916,1,0.25,1.0,0.25,0.0081082763756066,-0.0082961427164427,0.014
4586691,0.6214596636394583,0.6214503628198386,0.6214550132296484,1.0,582.0,0.120882546957448,5.664518295950149,2.06903813151197,0.1197650849874059,5.812406310215654,1.977246034805892,15.24025360330534,0.4214789541563259,765,0.0879336158116904,17.58697846406356,3.578704579080664,0.0877240683027141,18.10452311666388,3.597738413929231,15.178206645419882,0.4532686232897394,0,0.25,1.0,0.25,-0.0917920967060781,0.019033834848567,0.032
5409348,0.3450833846507772,0.3450811649326232,0.3450822747917001,1.0,317.0,0.1480100388688411,1.857100083175736,1.0811319325150113,0.1568406304634703,1.8726620061934525,1.0863329973366196,15.926363410480116,0.3245299275665996,795,0.0508651668709412,1.8498728450263369,1.2776547455801472,0.0511111772156877,1.8671826130940308,1.2933396616608197,15.883090597138672,0.336914618771857,1,0.25,0.0,0.25,0.0052010648216083,0.0156849160806724,0.012
5633101,0.3183976906223325,0.3183998743966909,0.3183987825095117,1.0,599.0,0.1598169520224266,0.878296776409123,0.8234781374646021,0.164039105769967,0.8880480466594776,0.8364222196301122,16.46843964372,0.3448568200032049,697,0.0544523871002041,1.628905670408519,1.1241511213849766,0.0559432747551088,1.721199473076877,1.206809296920445,16.44769619628007,0.3104814710044863,1,0.25,0.0,0.25,0.0129440821655101,0.0826581755354682,0.034
5895287,0.5391679639597516,0.5391854362479331,0.5391767001038423,1.0,522.0,0.0977231468511879,5.24113938649263,1.753934702692412,0.0979200971090576,6.656008292448833,1.767202051578601,15.53495639918525,0.750007570962568,677,0.0431893270741748,26.34663007128036,2.653605067803171,0.0465019691951047,29.15367752969988,2.794321926170417,15.491955951670882,0.7771804828898041,1,0.25,0.0,0.25,0.0132673488861891,0.140716858367246,0.027
5896424,0.6471869964856611,0.6471878824447715,0.6471874394652164,1.0,537.0,0.0956967937993233,0.9707851276966154,0.8071866288270798,0.0952778676070103,0.970323751057252,0.789121834201944,16.008505254988084,0.4259093845277206,675,0.0304048608915199,1.6116724809053486,1.0291654742294718,0.0303790625412484,1.6238951816515672,1.038501602473114,15.975859563651014,0.4288917247395822,1,0.25,0.0,0.25,-0.0180647946251357,0.0093361282436421,0.003
6252703,0.3706754279861963,0.3707052912798728,0.3706903596330346,1.0001,472.0,0.1280141313860751,1.4193458687953882,1.0179528252481815,0.2277719835936129,3.30692980295706,1.6694575199879798,15.80551296869344,0.3545466952021243,716,0.1177297313385335,23.01666024975185,3.3393024255664447,0.0745181933750374,10.085831341651112,2.227738256817451,15.812321889851566,0.3292999040233635,1,0.25,0.0,0.25,0.6515046947397982,-1.111564168748994,0.025
