LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
3481248,0.556293,0.556286,0.55629,0.999987,251,0.0291685100721939,2.4,1.1,0.0294200966438297,3.0,1.3,14.6,0.76,359,0.0228654388281763,2.1,1.1,0.0227061715055106,2.2,1.1,14.63,0.59,1.7976,1.8655,14.7373,0.1234,8.5877,1.7976,1.8013,276.2431,0.0128,10.8951,0.17,1e-05,NaN,NaN,NaN
3520413,0.358502,0.358504,0.358503,1.000006,358,0.0749289212163554,7.6,1.7,0.0779643960168576,7.7,1.8,14.6,0.34,336,0.0715521714955105,2.1,1.4,0.0702662585539382,2.0,1.4,14.61,0.25,2.7894,2.8572,14.7362,0.0332,9.9318,2.7894,2.7923,346.0208,0.0464,18.1638,0.09,1e-05,NaN,NaN,NaN
3605112,0.579602,0.579602,0.579602,1.0,252,0.0584082497991135,1.9,1.2,0.0584082497991135,1.9,1.2,15.13,0.58,407,0.0287555933860392,1.7,1.1,0.0287555933860392,1.7,1.1,15.12,0.47,1.7253,1.7282,350.8772,0.0625,9.0803,1.7253,1.7303,202.2245,0.016,12.8217,0.11,0.0,NaN,NaN,NaN
4182729,0.681458,0.681461,0.68146,1.000004,299,0.0524278412695954,1.6,1.1,0.0539837673522993,1.6,1.2,14.93,0.54,334,0.0448640782489825,2.4,1.3,0.0452627774222799,2.4,1.3,14.89,0.43,1.4674,1.4722,211.8644,0.057,7.4245,1.4675,1.4703,345.4231,0.0626,13.0882,0.11,0.0,NaN,NaN,NaN
7811366,0.489523,0.489521,0.489522,0.999996,253,0.0836032598537451,11.4,2.0,0.0856394045723226,11.5,2.0,15.18,0.81,405,0.0570322099750435,18.5,2.6,0.0582762051090227,18.6,2.6,15.26,0.63,2.0428,2.1151,13.8293,0.0483,5.9174,2.0428,2.0628,49.9625,0.0209,20.6539,0.18,0.0,NaN,NaN,NaN
7824100,0.736059,0.736082,0.736071,1.000031,286,0.0722618830593055,1.0,0.9,0.0803306454203061,1.2,1.0,16.02,0.52,406,0.069266705031293,11.0,2.6,0.0657927460680928,11.9,2.5,15.77,0.54,1.3586,1.3804,45.8926,0.0171,7.5854,1.3586,1.3621,284.495,0.0199,11.057,0.02,3e-05,NaN,NaN,NaN
872620,0.549247,0.549248,0.549248,1.000002,282,0.0791124372729934,1.1,1.0,0.0760899148355027,1.1,1.0,16.12,0.85,272,0.0434065257385193,2.8,1.5,0.0434065257385193,2.8,1.5,16.19,0.63,1.8207,1.8289,121.2856,0.0437,8.4914,1.8207,1.8303,103.6269,0.0136,7.6183,0.22,0.0,NaN,NaN,NaN
8730052,0.694309,0.694315,0.694312,1.000009,280,0.0666776801013359,1.0,1.0,0.0658248226637852,1.0,0.9,15.81,0.68,385,0.0354164333058833,2.3,1.3,0.0355298997818703,2.3,1.3,15.81,0.53,1.4403,1.4432,348.4321,0.1157,10.3318,1.4403,1.4451,206.8252,0.0119,11.4236,0.15,1e-05,NaN,NaN,NaN
8735344,0.403326,0.40333,0.403328,1.00001,285,0.1992774930185667,3.3,1.4,0.1937743345073909,3.3,1.5,15.91,0.41,820,0.212417022802676,16.5,3.7,0.2127241048342897,16.7,3.7,15.95,0.26,2.4794,2.518,25.9168,0.0324,7.1943,2.4793,2.4829,280.5049,0.0083,16.2047,0.15,1e-05,NaN,NaN,NaN
950554,0.314673,0.314676,0.314674,1.00001,321,0.1184951544009416,1.0,0.9,0.1192554408345588,1.0,0.9,16.02,0.41,271,0.0639199217090644,1.8,1.2,0.067560774216783,2.1,1.3,16.1,0.29,3.1779,3.2456,14.7689,0.0379,12.435,3.1778,3.1813,289.0173,0.0088,12.5143,0.12,1e-05,NaN,NaN,NaN
9920704,0.63114,0.631141,0.63114,1.000002,263,0.179410081085897,2.2,1.3,0.179410081085897,2.2,1.3,16.07,0.38,331,0.0705414897229124,2.4,1.3,0.0719386475995527,2.4,1.3,16.02,0.26,1.5844,1.6389,18.3705,0.0677,8.2199,1.5844,1.5893,204.7083,0.0082,12.5803,0.12,0.0,NaN,NaN,NaN
