LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ
664583,0.602994,0.603021,0.603008,1.000045,449,0.11590360538413352,1.8,1.1,0.14790837276442811,2.8,1.4,16.18,0.56,48,0.06408066360218122,4.7,2.2,0.06819679272831362,4.6,2.2,16.12,0.46,1.6583902481951152,1.6611852481951335,357.78175312824646,0.04067827003612484,10.590509700272907,1.6584271974494007,1.6670021974494569,116.61807580098528,0.06385943768766622,8.631403662326848
670864,0.600802,0.37493,0.487866,0.624049,336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6644416136817253,1.74147661368223,12.981112481254609,0.03270119276348463,5.436253618839075,0.0,0.0,0.0,0.0,0.0
717668,0.426744,0.426758,0.426751,1.000033,302,0.11216529441605756,1.6,1.2,0.12362237579753343,2.0,1.4,15.47,0.32,18,0.025521699675488018,0.5,0.5,0.02028133372974262,0.4,0.4,15.44,0.31,2.343323901845776,2.413828901843107,14.18339124938455,0.05556144559360659,12.846310714263478,1.5651196751379868,1.5679746751380055,350.26269702047244,0.2437988597685047,4.671386838065954
734545,0.289482,0.498499,0.39399,1.722038,305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4544502385467832,3.524935238544115,14.187415762756014,0.024389447631353266,19.114304234614217,0.0,0.0,0.0,0.0,0.0
737951,0.357023,0.357023,0.357023,1.0,273,0.23203472743825482,6.0,2.2,0.23203472743825482,6.0,2.2,15.8,0.43,55,0.12750196705737316,12.1,3.4,0.12750196705737316,12.1,3.4,15.73,0.38,2.8009406187551242,2.803770618755017,353.35689047274127,0.04104360985185535,16.20372875534476,0.9336551310875447,0.9664851310877598,30.45994517189914,0.061781018727815794,3.6358858864716197
771232,0.54093,0.540941,0.540936,1.00002,301,0.056072567723702525,1.1,1.0,0.06529390756317566,1.7,1.1,15.48,0.93,56,0.029829958919180402,2.3,1.3,0.03314056720882695,3.1,1.4,15.56,0.72,1.8486665360568875,1.9257015360573921,12.981112481254609,0.07764807060519328,11.081907269817737,1.8486242566591908,1.9256992566596958,12.97437560808886,0.12834162753869013,6.995367464450984
798477,0.651627,0.651611,0.651619,0.999975,294,0.1383636388574938,2.0,1.2,0.13584235146419468,2.2,1.1,16.09,0.61,4,7.756249734939463e-06,0.1,0.4,7.182361084748873e-06,4.6,1.1,-357.14,713.64,1.5346197432507829,1.5983797432512006,15.683814303535897,0.08814875660279049,4.7069146655670675,0.16361681103279715,0.1686568110328022,198.4126984125,65.26754529057567,16.022102077404075
803829,0.595281,0.595286,0.595284,1.000008,270,0.04175431701931319,8.7,2.3,0.046931796406584146,9.7,2.7,14.16,0.91,59,0.025984842403677273,4.9,1.9,0.026649945696458184,4.9,2.0,14.16,0.81,1.6798793911986256,1.720544391198892,24.591171769173705,0.093687692239334,6.059910731022648,1.679891175089469,1.7411961750898706,16.311883206809377,0.031049397083078103,4.551056904140914
810169,0.465185,0.465212,0.465198,1.000058,289,0.14072873440646158,6.0,2.1,0.1582691696718483,8.2,2.3,15.47,0.77,59,0.053457816332853944,10.3,2.5,0.04525047091141767,11.9,2.2,15.73,0.61,2.149680667224981,2.223200667222198,13.601741023365856,0.06597368090137747,9.937048159062275,2.14955383080183,2.22298383079905,13.618412093665501,0.036434576435552625,8.6092802429744
843294,0.374216,0.374214,0.374215,0.999995,290,0.1234279512599683,3.3,1.4,0.11879039715918249,3.4,1.4,15.53,0.36,57,0.051371821077287744,1.8,1.2,0.05299466677778401,1.9,1.3,15.48,0.31,2.6722511110211893,2.7060061110199114,29.625240706202273,0.02866823497591496,11.45732363867936,1.3361763105824496,1.3393313105824702,316.9572107744687,0.14861027840857308,11.368568422098276
856862,0.625858,1.205501,0.91568,1.926157,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5978052884138467,1.6343502884140861,27.363524421766282,0.05979175184600754,6.4406975581674875,0.0,0.0,0.0,0.0,0.0
869112,0.63569,1.271417,0.953554,2.000058,322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5730942215146215,1.6070942215148443,29.41176470568967,0.03755706295706064,7.745251450902527,0.0,0.0,0.0,0.0,0.0
872620,0.549247,0.549248,0.549248,1.000002,282,0.0791124372729934,1.1,1.0,0.07608991483550274,1.1,1.0,16.12,0.85,272,0.04340652573851932,2.8,1.5,0.04340652573851932,2.8,1.5,16.19,0.63,1.8206749103914666,1.8289199103915206,121.28562765232854,0.04365582639288905,8.491353803618203,1.8206701948780135,1.8303201948780767,103.62694300450246,0.013591976692694935,7.618270364722227
880588,0.600138,0.600134,0.600136,0.999993,295,0.11041857005123175,3.2,1.2,0.11681749950401228,3.3,1.2,16.08,0.91,75,0.050794892821019975,7.5,1.9,0.047612278069591916,7.0,1.8,16.18,0.7,1.666283485209808,1.6909584852099697,40.52684903722184,0.06180178406438028,7.438744489239352,1.6662699615521077,1.6690899615521262,354.60992907569107,0.0737183849588394,12.182575753085711
