LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_rms,L_chi2dof,L_chi2dofR,Lmean_rms,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Z_rms,Zchi2dof,Zchi2dofR,Zmean_rms,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,LCtype,IndicatorType,ChiType,BE_score
924301,0.507503,0.50744,0.5075,0.9999,418,0.0955154247337387,13.8,1.9,0.0880026164741427,13.8,2.0,15.42,0.87,44,0.0990775184529305,89.0,5.0,0.137284103642522,78.3,6.6,15.53,0.6,1.9704,2.0043,29.5072,0.0503,11.4848,2.0048,2.016,89.6459,0.0665,5.164,0.27,0.00012,2,NaN,NaN,NaN
966279,0.517279,0.51727,0.5173,1.0,330,0.0893677660456542,6.1,1.5,0.0938778458869912,10.7,1.4,15.49,0.92,70,0.0557504002468154,8.8,2.0,0.0692537541266254,14.8,2.3,15.67,0.7,1.9332,2.001,14.7406,0.0974,7.0202,1.9333,2.0029,14.3627,0.0838,21.4458,0.22,2e-05,2,NaN,NaN,NaN
970326,0.592233,0.592231,0.5922,1.0,275,0.1213726514160336,1.9,1.1,0.123643579720374,3.0,1.2,15.91,0.51,57,0.036128446734173,1.1,0.9,0.0550038146730895,2.4,1.4,15.86,0.4,1.6885,1.7563,14.7656,0.0676,7.0802,1.6886,1.6914,357.7818,0.0536,7.2828,0.11,0.0,1,NaN,NaN,NaN
999528,0.658401,0.658407,0.6584,1.0,564,0.1434565706485954,1.8,1.2,0.1436620840600874,1.8,1.2,16.22,0.57,45,0.0427418410052125,5.7,1.6,0.0408210295027818,6.7,1.5,16.17,0.55,1.5188,1.5527,29.5247,0.0685,14.9114,1.5188,1.5296,92.5926,0.0671,6.5103,0.02,1e-05,1,NaN,NaN,NaN
1004849,0.458463,0.458467,0.4585,1.0,607,0.066321267131575,6.5,1.3,0.2883926805041463,30.0,3.6,15.71,1.14,45,0.0223867542785641,2.2,1.4,0.0364228559717286,26.2,1.9,15.79,0.87,2.1812,2.2151,29.4985,0.0453,12.0305,2.1811,2.2704,11.202,0.0611,5.196,0.27,1e-05,1,NaN,NaN,NaN
1005497,0.653607,0.653605,0.6536,1.0,607,0.0731019162235362,2.1,1.1,0.076865284588892,2.3,1.1,15.66,0.6,45,0.0377459924769939,3.0,1.4,0.0351296965498386,2.9,1.3,15.62,0.51,1.53,1.5639,29.4638,0.0567,11.4094,1.53,1.549,52.6316,0.0836,7.2669,0.09,0.0,1,NaN,NaN,NaN
1051321,0.330482,0.330481,0.3305,1.0,558,0.0668572763807453,5.6,1.2,0.2336555572826587,21.9,3.7,15.06,0.33,44,0.0376219799166627,1.3,1.0,0.0433262929380754,2.5,1.1,15.05,0.27,3.0259,3.0598,29.5029,0.0412,20.8807,3.0258,3.0376,85.3971,0.026,5.5909,0.06,0.0,2,NaN,NaN,NaN
1051858,0.632085,0.632085,0.6321,1.0,552,0.1456596709672374,0.6,0.7,0.1624331476352322,0.7,0.7,16.66,0.38,135,0.0541413666562828,0.9,0.9,0.0595954374475569,1.3,1.0,16.62,0.28,1.5821,1.616,29.4551,0.0418,14.092,1.5821,1.5867,215.7497,0.044,8.0136,0.1,0.0,2,NaN,NaN,NaN
1058132,0.632859,0.632854,0.6329,1.0,607,0.1093661892514533,0.8,0.8,0.1796830228537138,2.3,1.1,16.27,0.44,42,0.0483632144076186,0.9,1.0,0.0556915658094594,2.6,1.0,16.2,0.32,1.5801,1.614,29.5072,0.0689,17.1991,1.5802,1.6325,19.1113,0.0577,4.2347,0.12,1e-05,2,NaN,NaN,NaN
1059786,0.463511,0.463516,0.4635,1.0,549,0.0589081256583811,1.4,1.0,0.0894125613067134,4.9,1.4,15.87,1.18,43,0.0315739732321435,3.7,1.8,0.0367462934728709,11.8,2.0,15.96,0.99,2.1574,2.1913,29.5247,0.0813,12.411,2.1574,2.2349,12.9049,0.0612,5.4311,0.19,1e-05,1,NaN,NaN,NaN
1092244,0.649496,0.649558,0.6495,1.0001,590,0.1068267894579595,2.3,1.2,0.1105517641886892,2.4,1.2,16.09,0.72,82,0.1100439236506526,13.0,2.9,0.1312086110872327,20.8,3.6,16.17,0.47,1.5397,1.5735,29.5421,0.1267,13.4443,1.5393,1.6125,13.6482,0.0747,0.0136,0.25,0.0001,1,NaN,NaN,NaN
1102647,0.621541,0.621548,0.6215,1.0,559,0.0333219663454947,2.8,1.3,0.1548437455575786,38.2,4.4,14.8,0.78,40,0.0188700972111124,1.4,1.1,0.0292456429132877,26.3,1.5,14.79,0.64,1.6089,1.6428,29.5116,0.1039,14.9387,1.6088,1.6414,30.6701,0.0684,6.809,0.14,1e-05,1,NaN,NaN,NaN
1111522,0.523951,0.499325,0.5116,0.953,345,0.0571419112181906,5.9,1.4,0.6076259489768224,64.1,6.4,15.4,0.89,136,0.0038424115364863,195.1,14.3,0.2939923134142299,132.3,10.0,13.27,47.88,1.9086,1.957,20.6356,0.0474,12.0773,2.003,2.003,0.0,3.8458,217.9042,46.99,0.04814,1,NaN,NaN,NaN
1112498,0.492932,0.492942,0.4929,1.0,541,0.0671958747442325,1.6,1.0,0.1622674427161717,10.9,1.9,15.99,1.09,133,0.0285310312447206,2.6,1.4,0.0616002029547883,19.0,2.2,16.14,0.88,2.0287,2.0416,77.1903,0.0601,13.9341,2.0024,2.0287,38.1098,0.0645,13.0956,0.21,2e-05,1,NaN,NaN,NaN
1197898,0.341894,0.341881,0.3419,1.0,261,0.0691970981408217,2.0,1.2,0.1028299027151899,3.4,1.7,14.72,0.27,86,0.0670543215838542,1.8,1.1,0.0823106443339977,2.9,1.3,14.79,0.23,2.9249,2.9953,14.1995,0.0195,10.6403,3.005,3.0461,24.3339,0.052,4.9852,0.04,4e-05,1,NaN,NaN,NaN
1210627,0.284468,0.284472,0.2845,1.0,277,0.1172576480677879,1.4,1.1,1.1578607553068945,13.2,4.2,15.91,0.46,171,0.0624448514916177,2.0,1.4,0.1727422715603475,14.3,3.4,16.04,0.32,3.5153,3.586,14.1553,0.0232,11.8684,3.5152,3.5186,294.5508,0.0189,10.7337,0.14,1e-05,2,NaN,NaN,NaN
1212611,0.630896,0.630893,0.6309,1.0,297,0.0493084901714861,0.9,0.9,0.0520353524081541,1.4,0.9,15.64,0.75,165,0.0294621856948783,1.8,1.1,0.0329701874245829,2.2,1.2,15.66,0.57,1.585,1.5962,89.3256,0.0606,10.3725,1.5851,1.6388,18.6047,0.0264,6.597,0.18,0.0,1,NaN,NaN,NaN
1240665,0.632528,0.632518,0.6325,1.0,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.581,1.6149,29.4942,0.052,14.1052,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,1,NaN,NaN,NaN
1244554,0.536875,0.536962,0.5369,1.0002,469,0.138151138716548,9.5,1.8,0.1919062443864857,14.9,2.0,15.78,0.71,45,0.024611354563647,11.1,1.3,0.0567688336019716,15.5,3.2,15.76,0.72,1.8626,1.8966,29.4638,0.0687,12.3222,1.8624,1.9325,14.2816,0.0916,5.0282,0.01,0.00016,1,NaN,NaN,NaN
1249142,0.565642,0.565649,0.5656,1.0,417,0.0425734844105833,1.2,1.0,0.1685970603859113,22.4,2.9,15.31,0.81,39,0.0255917971745219,1.8,1.4,0.0266748015344951,22.1,1.5,15.35,0.63,1.7679,1.8017,29.5465,0.1135,11.2741,1.7679,1.7715,276.6252,0.0526,5.0817,0.18,1e-05,1,NaN,NaN,NaN
