LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,LPlin_rmsdmag,LPlin_chi2dof,LPlin_chi2dofR,LPmean_rmsdmag,LPmean_chi2dof,LPmean_chi2dofR,Lmmax,Lampl,NdataZTF,ZPztf_rmsdmag,ZPztf_chi2dof,ZPztf_chi2dofR,ZPmean_rmsdmag,ZPmean_chi2dof,ZPmean_chi2dofR,Zmmax,Zampl,Lindicator,Llimit,Zindicator,Zlimit,Chi_diff_LINEAR,Chi_diff_ZTF,Ampl_diff
5896424,0.6471869964856611,0.6471878824447715,0.6471874394652164,1.0,537.0,0.0956967937993233,0.9707851276966154,0.8071866288270798,0.0952778676070103,0.970323751057252,0.789121834201944,16.008505254988084,0.4259093845277206,675,0.0304048608915199,1.6116724809053486,1.0291654742294718,0.0303790625412484,1.6238951816515672,1.038501602473114,15.975859563651014,0.4288917247395822,1,0.25,0.0,0.25,-0.0180647946251357,0.0093361282436421,0.003
6252703,0.3706754279861963,0.3707052912798728,0.3706903596330346,1.0001,472.0,0.1280141313860751,1.4193458687953882,1.0179528252481815,0.2277719835936129,3.30692980295706,1.6694575199879798,15.80551296869344,0.3545466952021243,716,0.1177297313385335,23.01666024975185,3.3393024255664447,0.0745181933750374,10.085831341651112,2.227738256817451,15.812321889851566,0.3292999040233635,1,0.25,0.0,0.25,0.6515046947397982,-1.111564168748994,0.025
6266717,0.5914947131994991,0.5914898128671692,0.5914922630333341,1.0,541.0,0.0405599781892546,2.530428388948838,1.1649556294766716,0.0414287619367466,2.7327434245424485,1.1713911009413682,15.007962023801378,0.6655636448235018,672,0.0254131288632897,3.303040333606466,1.4787068480911856,0.0239661514673329,3.153993278499225,1.3823471095647086,14.992091850474552,0.6476536980344605,1,0.25,0.0,0.25,0.0064354714646965,-0.0963597385264769,0.018
6276308,0.5227987187610362,0.5228006662630895,0.5227996925120628,1.0,512.0,0.0392207215801697,1.3838837305947482,0.8789657982166141,0.0393132671599041,1.3316237181801944,0.8985589772962225,15.612556255810656,1.0555105071273445,677,0.0191717650973157,4.0862387770547945,1.3123327341037263,0.0202553106572569,4.310795621256678,1.3698775488191053,15.585727094727336,0.9784902126553892,1,0.25,0.0,0.25,0.0195931790796083,0.0575448147153789,0.077
6346477,0.3008082934395605,0.3008045115841149,0.3008064025118377,1.0,603.0,0.0435789947505833,1.4725440726647874,1.01687729498114,0.0538149187870754,1.972627702209764,1.141847050914896,15.042074378542434,0.4453679989697985,736,0.0397914722972022,2.5886395676657528,1.3643587829488997,0.039378573822607,3.027703263731893,1.350228839435614,15.007203838671913,0.4236057689257837,1,0.25,0.0,0.25,0.1249697559337559,-0.0141299435132857,0.022
6429965,0.5326980771605062,0.5326976603847878,0.532697868772647,1.0,346.0,0.0379078585836734,4.232474188628994,1.411665369269638,0.0378980702685976,4.125310384718517,1.4042101849248338,14.780061405461288,0.9346176884071636,1219,0.0304439420926481,10.119252694019378,2.450741679458289,0.0306271068547765,10.213478803936098,2.443958718244392,14.721120528399055,0.9920040063112464,0,0.25,1.0,0.25,-0.007455184344804,-0.0067829612138972,0.057
6651516,0.3084877199556545,0.3084930693872015,0.308490394671428,1.0,426.0,0.0902218197713779,2.0655347166785107,1.371993699935456,0.1025777575936974,2.613244857843811,1.5647664298751849,15.24510640873127,0.3632451673399419,1285,0.0727275439926054,14.872152379775825,2.2152202187570733,0.0691539702799906,15.17803028727034,2.1335520992881243,15.266412182968134,0.3462909522427306,1,0.25,1.0,0.25,0.1927727299397288,-0.081668119468949,0.017
6960146,0.6297716519663388,0.6297712450326471,0.629771448499493,1.0,476.0,0.0687857326188544,4.99138048463414,1.6355812661459963,0.0685156496520856,4.995085780464137,1.6245783756157277,14.754458777617309,0.3856772046084984,492,0.0401988402648527,3.536046964324449,1.5830542582056597,0.0397908340274273,3.526977258242195,1.566508043871626,14.738046454696262,0.3530160719050901,1,0.25,0.0,0.25,-0.0110028905302685,-0.0165462143340338,0.033
7024251,0.6231177754318189,0.6230905323394208,0.6231041538856199,1.0,524.0,0.0348336774600558,1.017151085780238,0.8603476190115139,0.0577672841444274,3.431136017435485,1.209387714855965,15.533080454116336,1.0401846351156705,1165,0.019561527916311,4.512701206315356,1.5162972020715677,0.0253013196623969,12.591005969238816,1.9191568011077256,15.51137759237736,0.9461755269331996,1,0.25,0.0,0.25,0.3490400958444511,0.4028595990361578,0.094
7336579,0.2648855941623274,0.2648852466891511,0.2648854204257392,1.0,533.0,0.1018894542673431,1.683377193631181,0.965053727339059,0.1047980755170141,1.6850444286941446,0.976452808822662,15.769202210820808,0.3760322787329393,585,0.0588070504342815,3.148094982303823,1.7233010980285566,0.0558390652167915,3.051349550413234,1.6511195093855715,15.771661956400628,0.335747532470517,1,0.25,0.0,0.25,0.011399081483603,-0.072181588642985,0.04
7601233,0.5222837267813637,0.5222942067708082,0.5222889667760859,1.0,462.0,0.0479605329675558,2.361541940747203,1.1190261990446837,0.0465791439352286,2.831055768108975,1.1396940320662303,15.33261135965818,0.9310749803568168,279,0.0300242030116748,10.71480855510832,1.9322216551810671,0.0306763247618414,12.884459180478949,2.0325745073472685,15.369587412376935,0.8508632563814995,1,0.25,0.0,0.25,0.0206678330215466,0.1003528521662013,0.08
7661142,0.5493728535236994,0.5493605418746144,0.5493666976991569,1.0,489.0,0.0875029675024576,0.9352572709006304,0.8977499501215139,0.0856616853803629,0.963018892182352,0.8857229699267847,16.176142009024723,0.750548008303138,230,0.0368030451150626,4.496622123697392,1.4396997826091276,0.0401402176879137,4.903552201211938,1.5250908217292898,16.179084213517324,0.7375977264859799,1,0.25,0.0,0.25,-0.0120269801947292,0.0853910391201622,0.013
7716220,0.5633352993916533,0.5633346974099365,0.5633349984007949,1.0,459.0,0.1120809515523067,6.07687730575646,1.653251070121025,0.1126805053104669,6.075921820744968,1.652097723464152,15.593765262408205,0.6606262706162518,282,0.0969389555807826,25.998345775154696,3.5445900874902176,0.0967455952264822,25.985815180589235,3.528317996521828,15.666359204109597,0.5363278754266378,1,0.25,0.0,0.25,-0.0011533466568729,-0.0162720909683895,0.124
