LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,L_chi2dof,L_chi2dofR,Lmean_chi2dof,Lmean_chi2dofR,Lmmax,Lampl,NdataZTF,Zchi2dof,Zchi2dofR,Zmean_chi2dof,Zmean_chi2dofR,Zmmax,Zampl,MainPeakL,BlazhkoPeakL,BlazhkoPeriodL,BpowerRatioL,BsignificanceL,MainPeakZ,BlazhkoPeakZ,BlazhkoPeriodZ,BpowerRatioZ,BsignificanceZ,Ampl_diff,dP,IndicatorType,ChiType,BE_score
2050107,0.686454,0.686466,0.68646,1.000017,190,16.4,3.9,19.8,3.9,14.22,0.78,1388,22.3,3.3,22.9,3.4,14.3,0.64,1.4568,1.4906,29.5159,0.157,4.531,1.4567,1.4633,151.2859,0.0025,9.8127,0.14,2e-05,-,LZ5,6
2122319,0.359422,0.359424,0.359423,1.000006,519,7.2,2.1,7.2,2.2,15.64,0.38,199,36.6,6.1,36.5,6.2,15.67,0.55,2.7822,2.8161,29.5421,0.0269,16.6582,2.7822,2.8926,9.0645,0.0044,8.681,0.17,1e-05,-,LZ5,7
2229607,0.575179,0.575211,0.575195,1.000056,290,2.7,1.2,2.8,1.2,16.13,0.55,731,38.3,4.4,48.2,4.3,16.11,0.81,1.7386,1.8093,14.1383,0.0626,7.3519,1.7385,1.7433,207.2539,0.0017,10.3544,0.26,6e-05,-,LZ4,8
2243683,0.579777,0.579803,0.57979,1.000045,531,22.0,3.1,24.8,3.2,15.07,0.52,262,36.0,4.3,42.2,4.3,14.96,0.56,1.7248,1.7588,29.4204,0.0526,16.6097,1.7247,1.7303,180.018,0.0141,8.5969,0.04,4e-05,-,LZ5,6
2264042,0.655373,0.655391,0.655382,1.000027,391,6.5,1.6,6.8,1.6,15.81,0.74,299,57.4,4.0,58.4,3.9,15.71,0.76,1.5258,1.5597,29.5465,0.065,8.5938,1.5258,1.5313,182.4818,0.0199,10.8262,0.02,3e-05,-,LZ4,5
2280940,0.562372,0.562374,0.562373,1.000004,310,1.4,1.1,1.4,1.1,16.22,0.84,735,17.5,3.2,17.3,3.2,16.2,1.01,1.7782,1.8461,14.7286,0.0537,5.6057,1.7782,1.7847,153.2567,0.0019,14.1571,0.17,0.0,-,LZ4,6
2333087,0.551462,0.551424,0.551443,0.999931,560,29.8,3.5,39.6,3.3,15.03,0.72,202,90.2,8.0,111.0,8.6,15.07,0.88,1.8134,1.8473,29.5072,0.0896,12.6236,1.8135,1.8304,59.0842,0.004,7.1818,0.16,7e-05,-,LZ5,9
2334384,0.555341,0.555333,0.555337,0.999986,443,10.5,2.0,10.7,2.1,15.01,0.63,204,84.7,6.5,88.6,6.6,15.0,0.88,1.8007,1.8346,29.5377,0.0505,9.9968,1.8007,1.8353,28.9394,0.0038,6.6725,0.25,1e-05,-,LZ5,7
2397296,0.488814,0.488836,0.488825,1.000045,522,3.2,1.2,3.9,1.3,16.17,0.65,196,78.9,6.6,84.1,6.8,16.02,1.01,2.0458,2.0796,29.5421,0.0595,14.0709,2.0457,2.0672,46.5224,0.0206,14.176,0.36,5e-05,-,LZ5,9
2414841,0.559611,0.559592,0.559602,0.999966,522,5.6,1.7,6.5,1.8,15.25,0.69,305,62.8,5.7,79.8,6.0,15.33,1.09,1.787,1.8208,29.5421,0.0855,11.1928,1.787,1.792,201.2072,0.0092,11.4217,0.4,3e-05,-,LZ5,8
