index,LINEAR id,Plinear,Pztf,Pmean,Pratio,NdataLINEAR,LPlin_rmsdmag,LPlin_chi2dof,LPlin_chi2dofR,LPmean_rmsdmag,LPmean_chi2dof,LPmean_chi2dofR,Lmmax,Lampl,NdataZTF,ZPztf_rmsdmag,ZPztf_chi2dof,ZPztf_chi2dofR,ZPmean_rmsdmag,ZPmean_chi2dof,ZPmean_chi2dofR,Zmmax,Zampl,Lindicator,Llimit,Zindicator,Zlimit,LC TYPE,Chi_diff_LINEAR,Chi_diff_ZTF,Ampl_diff,dP
625,8100474,0.54174,0.541728,0.5417340359569047,1.0,236.0,0.0886593299719968,1.8,1.3,0.0901095786262537,1.9,1.2,15.834393475426664,0.71,80,0.0705340604523743,35.4,4.0,0.0662042396245005,42.1,4.0,15.814876160972538,0.82,0,0.25,0.0,0.25,1,-0.06721127905292068,-0.014811553086841123,0.11,2e-05
638,8214374,0.487303,0.48729,0.487296396453853,1.0,264.0,0.1496767190815198,3.1,1.2,0.1494938438854156,3.3,1.2,16.130870031573533,0.79,873,0.0908865402829249,33.6,3.5,0.098705061830926,34.9,3.8,16.245584095294824,0.7,0,0.25,0.0,0.25,1,0.015666714236717727,0.30969031893960963,0.09,3e-05
644,8311517,0.523355,0.523358,0.5233565487837604,1.0,331.0,0.0833205865096781,11.4,1.8,0.0860782990284634,11.6,1.8,15.30053871361604,0.74,393,0.068336662495003,25.6,3.1,0.0684604282549889,26.7,3.2,15.287684657236374,0.66,1,0.25,0.0,0.25,1,-0.02096593316131945,0.090606668312184,0.08,1e-05
672,8574195,0.576044,0.576037,0.5760406754344246,1.0,188.0,0.1224487820779327,8.9,1.7,0.1205955659917966,9.0,1.6,15.455869049555352,0.64,1473,0.1214263776246765,41.5,4.4,0.1195905985932813,41.7,4.3,15.473498338161855,0.5,0,0.25,0.0,0.25,1,-0.10383056898123666,-0.10796151461152181,0.14,1e-05
677,8610949,0.583833,0.58388,0.5838561968552813,1.0001,252.0,0.1099639031025636,10.8,2.4,0.1319045806511145,21.6,2.9,15.12924435448058,0.53,364,0.0794010883827472,21.7,3.2,0.0814077458794565,34.6,3.1,15.105131851970569,0.56,0,0.25,0.0,0.25,1,0.5188243361459781,-0.10817570593059367,0.03,8e-05
687,8669917,0.554218,0.55421,0.5542142757989523,1.0,228.0,0.0749826707729662,11.7,2.2,0.0733988873219395,11.5,2.0,15.123529710705164,0.78,581,0.0669034901938693,23.1,3.9,0.0698524799430081,22.3,3.9,15.041449398547211,0.83,0,0.25,0.0,0.25,1,-0.19846872570345364,0.05140027603079789,0.05,1e-05
718,8927173,0.558599,0.558589,0.5585938716066393,1.0,317.0,0.1041603665756552,2.5,1.3,0.1099364254708479,2.4,1.4,15.83455800869969,0.77,329,0.1348992209808873,36.5,4.9,0.1340721745961653,37.0,4.9,15.954012071235722,0.56,0,0.25,0.0,0.25,1,0.1300126233381076,0.04051852051228089,0.21,2e-05
721,8933546,0.505787,0.505782,0.5057843919091487,1.0,385.0,0.0803422280099606,2.1,1.0,0.0846785999673286,2.2,1.0,15.93182060692269,0.83,272,0.0784459870495183,18.3,3.4,0.0726201450193957,19.0,3.2,16.136756264918073,0.81,0,0.25,0.0,0.25,1,0.01695016295729701,-0.23077040623813794,0.02,1e-05
730,9041967,0.587103,0.5871,0.5871019036860397,1.0,224.0,0.1003110140322667,3.8,1.4,0.1050411904038952,3.8,1.4,15.525640227996636,0.55,464,0.0760426991394867,17.9,3.1,0.0782083409740838,18.1,3.2,15.452622612351544,0.55,0,0.25,0.0,0.25,1,0.05664734962819007,0.08519016286732439,0.0,1e-05
776,9449335,0.47572,0.475695,0.4757075465481424,0.9999,257.0,0.0881427754150878,15.1,2.0,0.1388990262943618,30.2,3.3,15.237124673783883,0.89,606,0.0609465680604076,22.2,3.8,0.0755618111987461,46.7,4.7,15.257563677454549,0.8,0,0.25,0.0,0.25,1,1.2703972974414257,0.9411243016286388,0.09,5e-05
779,9507066,0.611134,0.611146,0.6111399515652598,1.0,256.0,0.081095392547357,1.2,0.9,0.0797840769455795,1.3,0.9,16.017812740420712,0.59,384,0.1035752742277758,12.5,3.2,0.1116219723724334,13.1,3.4,16.011133417502155,0.52,0,0.25,0.0,0.25,1,0.03284666735598041,0.21128361396129636,0.07,2e-05
824,9852554,0.651338,0.651367,0.65135252419892,1.0,339.0,0.135199830052465,1.1,1.0,0.1576874013547898,1.5,1.1,16.42262356724832,0.67,275,0.1130627311513084,23.9,3.3,0.1381609869549183,26.5,4.1,16.44081238996014,0.52,1,0.25,0.0,0.25,1,0.14748537391200234,0.8086772640441584,0.15,4e-05
846,10030349,0.545073,0.545074,0.5450735350664748,1.0,255.0,0.0756591143566407,8.6,2.1,0.0727071336184618,8.7,2.1,14.756970737248782,0.75,859,0.0696279377830477,34.9,4.5,0.0691434100673666,34.7,4.5,14.683144234707976,0.81,0,0.25,0.0,0.25,1,-0.01558394065354296,-0.02354487255215787,0.06,0.0
894,10481905,0.484719,0.484774,0.4847467384366518,1.0001,510.0,0.1167776635811688,18.0,2.7,0.2060597378685932,37.4,4.1,15.113433473833371,0.71,264,0.0959211134805595,81.1,6.6,0.1464023739857458,156.8,8.2,14.964127974644205,0.81,1,0.25,0.0,0.25,1,1.454841943100862,1.6476027181591055,0.1,0.00011
