,ID,Frequency,Period,N
0,10003298.0,8.067333454793802,0.12395669592729877,196.0
0,10004892.0,1.486845006416834,0.6725650593600958,269.0
0,10013411.0,1.8007889485746316,0.5553121595906751,170.0
0,10021274.0,1.7332866425518454,0.5769386179124659,214.0
0,10022663.0,1.6235122411571585,0.6159485433181889,246.0
0,10025796.0,7.250334832958278,0.13792466458986702,233.0
0,10028253.0,0.8033085079049475,1.2448517476903485,38.0
0,10030349.0,1.8345427674648738,0.5450949510334308,255.0
0,10032668.0,2.790110530095885,0.3584087401604244,193.0
0,10038903.0,2.0132999181973856,0.49669698536289275,227.0
0,10040133.0,1.637880802559642,0.6105450399303926,257.0
0,10040491.0,3.524735572164208,0.28370922570682205,228.0
0,10045187.0,1.7556788510373662,0.5695802506301973,229.0
0,10045615.0,3.507744972197361,0.28508343905445577,101.0
0,10046720.0,1.5973707447447498,0.6260287433521227,136.0
0,10047498.0,2.040448967874822,0.49008821869312647,221.0
0,1004849.0,2.1812350414075063,0.45845586606508965,607.0
0,1005497.0,1.5300147752308417,0.6535884595291732,607.0
0,10064356.0,1.5916642100821006,0.62827322098825,291.0
0,10066464.0,1.5037313114299498,0.6650124210348893,274.0
0,10071455.0,3.4035710099439056,0.2938090602718117,269.0
0,10084768.0,1.5474799783768094,0.6462119148377772,388.0
0,10085065.0,2.9630040649938456,0.3374953182867392,444.0
0,10086396.0,1.4898287299741602,0.6712180936511704,433.0
0,10089441.0,3.3399938348913,0.29940175025279503,219.0
0,1009459.0,8.13381017396453,0.12294361174064458,593.0
0,10099492.0,7.312438597672349,0.13675328505572873,214.0
0,10100966.0,1.6229818083484575,0.61614985137609,168.0
0,10101561.0,7.151435377375398,0.1398320682815152,137.0
0,10102166.0,8.200416447687212,0.12194502637509745,213.0
0,10113493.0,2.545244229151364,0.39288960507079523,153.0
0,10114059.0,1.815624609251038,0.5507746452128721,165.0
0,10116555.0,1.951517942011032,0.5124216275303642,178.0
0,10123919.0,1.594575836843217,0.6271260211616531,208.0
0,10127760.0,7.285983616847564,0.13724982824387288,225.0
0,10127904.0,3.646171101854387,0.2742603054177615,217.0
0,10132759.0,4.13131287721925,0.2420538046184222,260.0
0,1013374.0,2.147476599945377,0.46566281561598194,30.0
0,10135800.0,3.556881897222047,0.2811451234242576,138.0
0,1013889.0,1.9818350713552917,0.5045828557853419,228.0
0,10141859.0,1.452242569392444,0.6885901991003867,484.0
0,1014960.0,5.5146975949448365,0.1813336058384545,166.0
0,10157893.0,8.74146254980858,0.11439733274632607,485.0
0,10164624.0,6.742337420657668,0.14831651660388973,252.0
0,10166691.0,7.251740276328299,0.13789793372278908,265.0
0,10178590.0,19.1645284727007,0.05217973410744075,283.0
0,10178648.0,7.589109305073946,0.1317677687592953,112.0
0,10183351.0,2.6695124510678534,0.37460023818206273,259.0
0,1018967.0,8.049484545597762,0.12423155723019517,271.0
0,1019294.0,2.584936027618217,0.3868567691098371,278.0
0,10195209.0,7.160362335209141,0.1396577370229955,216.0
0,10212012.0,1.1281316417193297,0.8864213740835684,209.0
0,10215128.0,1.8391477286418976,0.5437301117395508,180.0
0,10215434.0,2.8113468742980454,0.3557013932155513,147.0
0,10223525.0,2.043915417718271,0.48925703643664087,228.0
0,10232710.0,2.5852623796817227,0.3868079340260667,202.0
0,10235783.0,1.7031693533420258,0.5871406727920279,225.0
0,10237955.0,3.0777147073971616,0.3249164055383499,211.0
0,10241512.0,3.222172694507093,0.3103495978675263,204.0
0,10247574.0,0.9336079104171797,1.0711134608458417,228.0
0,10250985.0,5.546654690806349,0.18028885080181983,213.0
0,10256108.0,2.1152768636208186,0.47275135335629453,291.0
0,10256156.0,1.847600283308424,0.5412426102302496,304.0
0,10260828.0,2.627093054620993,0.38064886900029077,280.0
0,10264978.0,8.516366823569253,0.11742096374154241,263.0
0,10275547.0,1.724965652263781,0.5797216881899283,233.0
0,10278022.0,2.518734511994348,0.39702477384493945,262.0
0,10281107.0,0.9004400695035752,1.1105680809510325,259.0
0,10290982.0,3.260610220429977,0.3066910585430631,216.0
0,10294963.0,8.097181819719957,0.12349975859064818,178.0
0,10298947.0,2.193111479180772,0.4559731730434177,231.0
0,10304077.0,7.881384660532477,0.1268812579352571,131.0
0,10307294.0,1.5611022061633562,0.6405730489982784,222.0
0,10309167.0,3.0847433875476558,0.32417607378193986,266.0
0,10312182.0,1.8842000896973778,0.5307291966855868,209.0
0,10321095.0,2.986902696891749,0.33479497040215833,443.0
0,1032186.0,3.0560037339602,0.3272247310719495,140.0
0,10322215.0,0.004598831336187474,217.44654824175845,536.0
0,10324405.0,1.7548272594136634,0.5698566594720712,457.0
0,1032465.0,2.1350966687856916,0.4683628683514068,195.0
0,10325207.0,1.6275314635375562,0.6144274457382399,542.0
0,10330471.0,1.6800332587345916,0.5952263116226665,688.0
0,10333591.0,1.6386635035589634,0.610253415559772,163.0
0,10336985.0,6.528896068864815,0.15316525021263985,261.0
0,10337573.0,7.969064369168157,0.12548524565430058,181.0
0,10337889.0,3.243230775840398,0.3083345186069518,172.0
0,10341978.0,1.7881852986884121,0.5592261611441914,255.0
0,10343059.0,20.772595606708176,0.04814034889684494,243.0
0,1034627.0,1.611936407550043,0.6203718678455091,167.0
0,10348090.0,7.497893914418399,0.13337078537174377,234.0
0,10351118.0,1.8006774673294617,0.5553465393683602,213.0
0,10352672.0,7.461557360451592,0.1340202791042375,209.0
0,10355826.0,1.6148845925836277,0.6192392970943615,407.0
0,10357287.0,7.846729838745953,0.1274416247979066,213.0
0,10361086.0,0.03004922803224981,33.2787251282052,213.0
0,10363777.0,6.996243369209249,0.14293384995739866,200.0
0,10366574.0,7.049557476266327,0.14185287564030646,122.0
0,10368252.0,1.916421136813204,0.5218059751015318,227.0
0,10370011.0,7.238123165564606,0.13815736167042628,265.0
0,10372468.0,6.504314398595397,0.15374410563793617,218.0
0,10375048.0,7.2968978614693025,0.1370445385127866,85.0
0,10375682.0,2.923950057677545,0.34200310548200225,219.0
0,10375719.0,0.550134025199472,1.8177388676103283,232.0
0,10380706.0,3.1340711173494262,0.3190738060997571,216.0
0,10384548.0,1.565119567975029,0.6389288208145096,227.0
0,10388951.0,6.800972753215849,0.14703778948785654,229.0
0,10392533.0,2.7449324008561753,0.3643076964984962,199.0
0,10397082.0,2.010403993388059,0.4974124620170184,255.0
0,10397805.0,1.7500211109497132,0.571421678140393,205.0
0,10399422.0,1.8121240002745411,0.5518386158168522,233.0
0,10403458.0,3.3867513619413496,0.2952682063518183,251.0
0,10404134.0,2.6240525863279456,0.38108992373486805,232.0
0,10405664.0,3.742616289010997,0.267192766444207,235.0
0,10412814.0,1.652831223483611,0.60502245225761,192.0
0,10414344.0,1.9630869811958318,0.5094017787183537,236.0
0,10418431.0,6.576984564711277,0.15204536215053424,75.0
0,10420063.0,2.051674569924289,0.48740673333827117,488.0
0,10420155.0,10.694677301708957,0.09350445757163751,462.0
0,10424071.0,7.640523517675177,0.13088108395801068,217.0
0,10426009.0,6.754157064439252,0.1480569655782831,490.0
0,10429339.0,1.704867509604659,0.5865558434108992,232.0
0,10438847.0,1.5513111470857033,0.6446160087733542,233.0
0,10442149.0,1.9244245238219102,0.5196358639277774,209.0
0,10442257.0,1.2584362195673398,0.7946370141379178,186.0
0,104455.0,1.7904871142143877,0.5585072308318567,119.0
0,10445917.0,2.087080644792088,0.4791381696223907,177.0
0,10446485.0,1.8076953530245286,0.5531905574281968,194.0
0,10450530.0,3.55017648550286,0.28167613753386583,191.0
0,1045095.0,7.01535742405632,0.14254441214511837,216.0
0,10452608.0,1.6805919739769708,0.5950284277709534,188.0
0,10455393.0,3.91044650470681,0.25572527300817177,139.0
0,10455515.0,2.4974970479391088,0.4004008736767808,192.0
0,10456555.0,4.228877298056159,0.23646938171028486,45.0
0,1045890.0,4.693904789244634,0.21304224199249785,215.0
0,10463586.0,1.8928670375837364,0.5282991251601644,198.0
0,10471777.0,6.487201723196297,0.15414966925173584,255.0
0,10476202.0,2.12142114161536,0.4713821222873965,134.0
0,10480983.0,3.0477409866767062,0.3281118718327872,515.0
0,10481330.0,6.531119564351664,0.15311310567000294,218.0
0,10481905.0,2.0630371265920497,0.48472225104931066,510.0
0,1048500.0,2.297455169882699,0.4352642058521895,31.0
0,10488093.0,1.7824012761966819,0.5610408909344011,495.0
0,10494061.0,1.736073699590435,0.5760124125121615,256.0
0,10495321.0,1.9089545078569812,0.5238469517655577,278.0
0,1049602.0,3.3110890999809612,0.3020154305137092,220.0
0,10498524.0,1.4054208604242928,0.7115306369496341,266.0
0,10503746.0,1.7434650924315442,0.5735704169478599,264.0
0,1050401.0,7.5057140871820245,0.13323182689675886,570.0
0,10505581.0,1.5685098206931598,0.6375478092691045,282.0
0,10509093.0,5.76141711484239,0.1735684086166631,452.0
0,1051321.0,3.0258858307075354,0.33048173524979707,558.0
0,10513982.0,5.533494781901313,0.18071761868661224,461.0
0,1051415.0,0.0006513854476675878,1535.1893469230768,546.0
0,10517655.0,1.8936299851214293,0.5280862723220318,411.0
0,1051858.0,1.5820148260929807,0.6321053276533746,552.0
0,10519762.0,5.602105944096234,0.17850429998630205,118.0
0,1052008.0,2.4640643311832724,0.40583356016512295,31.0
0,10521151.0,1.3480598869029556,0.7418068067416564,437.0
0,10522254.0,1.3300892266612159,0.7518292607407968,464.0
0,10524523.0,7.396902102997484,0.13519173108898722,285.0
0,10527628.0,1.2547105225349042,0.7969965837057699,37.0
0,10528075.0,8.085750586789088,0.12367435642076953,245.0
0,10528528.0,1.0001889031438773,0.9998111325337808,198.0
